latitude,longitude,hour,minute
40.713982,-73.961502,4,39
40.723808,-73.996246,4,31
40.821575,-73.954185,4,12
40.761196,-73.99054,4,34
40.74155,-74.00325,4,35
40.741055,-73.981491,4,37
40.714039,-74.006226,4,43
40.678902,-73.978752,4,38
40.721489,-73.993446,4,40
40.720203,-74.008476,4,38
40.793816,-73.972359,4,33
40.756313,-73.966034,4,33
40.741405,-74.007187,4,24
40.72438,-73.990746,4,35
40.718781,-73.988007,4,41
40.729069,-73.987015,4,41
40.778786,-73.981972,4,39
40.689205,-73.981209,4,41
40.740452,-73.998131,4,25
40.733383,-74.004265,4,39
40.731518,-74.000534,4,32
40.726509,-73.999199,4,31
40.757191,-73.987907,4,41
40.74966,-73.98822,4,29
40.760601,-73.973991,4,34
40.742031,-74.004494,4,43
40.725204,-73.984177,4,19
40.732014,-73.990112,4,35
40.738579,-73.999779,4,37
40.720043,-73.988518,4,37
40.741543,-73.978142,4,17
40.727737,-73.999023,4,22
40.724506,-73.995819,4,39
40.729706,-73.978554,4,33
40.722042,-73.988808,4,14
40.763805,-73.997543,4,14
40.75742,-73.973953,4,41
40.731098,-73.982262,4,39
40.794418,-73.971802,4,41
40.738121,-73.996292,4,43
40.740604,-74.005219,4,38
40.801159,-73.95752,4,40
40.761772,-73.92482,4,39
40.720535,-73.994637,4,29
40.76263,-73.971642,4,38
40.75798,-73.991943,4,30
40.731247,-73.982536,4,16
40.754566,-73.973328,4,38
40.753971,-73.968918,4,27
40.69371,-73.983078,4,50
40.779266,-73.955666,4,45
40.75882,-73.99279,4,20
40.75312,-73.966873,11,4
40.769073,-73.958488,11,3
40.792801,-73.96769,11,6
40.795914,-73.9729,11,0
40.763512,-73.975594,10,52
40.779114,-73.987015,11,4
40.761696,-73.930069,10,58
40.768909,-73.862679,10,51
40.755627,-73.977173,11,4
40.783241,-73.978264,11,3
40.738552,-74.006569,11,7
40.756065,-73.974709,11,12
40.725346,-73.9963,10,58
40.74091,-73.987045,11,8
40.716904,-73.988136,11,5
40.786671,-73.953079,11,9
40.750271,-73.991486,11,5
40.723858,-73.996193,11,7
0,0,11,6
40.779026,-73.988518,11,9
40.731754,-74.006271,10,59
40.761971,-73.972092,11,13
40.779537,-73.981056,11,13
40.782696,-73.945351,11,12
40.791142,-73.973839,10,54
40.742283,-73.993469,11,0
40.778442,-73.981934,11,9
40.776108,-73.960136,11,5
40.712811,-74.006424,11,0
40.748669,-73.983749,11,8
40.725819,-74.001114,11,2
40.766846,-73.986557,11,2
40.719044,-74.005257,10,48
40.7528,-73.978081,11,4
40.747486,-73.989456,10,59
40.688324,-73.98053,11,0
40.743832,-73.973602,10,57
40.743793,-73.994385,11,4
40.767395,-73.968491,11,11
40.761429,-73.999542,11,5
40.752117,-73.985931,11,8
40.779499,-73.956284,11,2
40.725842,-74.004791,11,11
40.680569,-73.994675,4,31
40.740707,-74.005592,4,24
40.784626,-73.949654,4,25
40.742195,-74.004128,3,58
40.765591,-73.913818,4,34
40.757874,-73.919991,4,34
40.762001,-73.960114,4,18
40.790096,-73.977097,11,4
40.726768,-73.99176,11,6
40.735298,-73.985703,11,1
40.780125,-73.981339,11,2
40.773277,-73.960274,10,59
40.645432,-73.776688,7,52
40.783966,-73.970413,10,58
40.689541,-73.96981,10,52
40.758301,-73.991867,11,14
40.736931,-74.006523,11,2
40.756081,-73.9729,11,10
40.794968,-73.966049,11,9
40.75922,-73.977173,10,59
40.758099,-74.000786,11,5
40.718498,-73.985359,4,32
40.753532,-73.90519,4,27
40.722424,-73.987282,4,42
40.729134,-73.988808,4,45
40.738556,-73.999771,4,39
40.747303,-73.989532,4,42
40.718578,-73.987854,4,40
40.756725,-73.986343,4,40
40.741985,-74.004181,4,25
40.727081,-73.988739,4,37
40.732651,-73.987564,4,41
40.787045,-73.977692,4,50
40.731964,-73.987984,4,39
40.757858,-73.992966,4,31
40.733047,-73.987312,4,46
40.748741,-73.990944,4,51
40.796841,-73.937988,4,39
40.761402,-73.963768,4,41
40.75779,-73.98938,4,38
40.728779,-73.987465,4,25
40.764263,-73.966675,4,49
40.755508,-73.921768,4,26
40.717949,-73.957611,4,29
40.743748,-73.992256,4,53
40.730968,-73.999664,4,36
40.72094,-73.981743,4,32
40.756344,-73.997818,4,47
40.749653,-73.976707,11,2
40.742641,-73.9123,10,55
40.774139,-73.873085,10,53
40.789223,-73.970253,10,56
40.766666,-73.986679,11,2
40.763489,-73.962105,11,6
40.717495,-74.015175,10,57
40.75238,-73.924904,11,5
40.765186,-73.975189,11,3
40.757778,-73.989281,11,5
40.688301,-73.989471,10,44
40.762623,-73.986649,10,51
40.731552,-73.98246,11,5
0,0,10,57
40.750027,-73.987823,11,3
40.76836,-73.982384,11,5
40.743942,-74.005974,11,7
40.741886,-73.97802,11,1
40.764496,-73.9617,10,53
40.772114,-73.956055,11,7
40.763672,-73.988808,11,10
40.792545,-73.964165,11,5
40.772881,-73.989578,11,6
40.71492,-74.016403,10,59
40.782753,-73.97345,11,9
40.790913,-73.965164,11,4
40.761032,-73.971695,11,5
40.752949,-73.966576,11,4
40.798248,-73.971146,11,4
40.765266,-73.980347,11,1
40.752869,-73.975441,11,6
40.763023,-73.974571,11,1
0,0,11,12
40.789757,-73.977165,11,5
40.77758,-73.989105,11,9
40.726585,-73.983177,11,6
40.748035,-73.995316,4,23
40.743977,-74.006775,4,30
40.720497,-73.986259,4,34
40.761822,-73.982079,4,28
40.719368,-73.986877,4,34
40.729683,-73.978539,3,51
