Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft_),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft_),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft_),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft_),Weather Normalized Site EUI (kBtu/ft_),Weather Normalized Site Electricity Intensity (kWh/ft_),Weather Normalized Site Natural Gas Intensity (therms/ft_),Weather Normalized Source EUI (kBtu/ft_),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft_),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft_),Source EUI (kBtu/ft_),Release Date,Water Required?,DOF Benchmarking Submission Status
N/A,3128121,MORRIS I/MORRIS II/MORRISANIA,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,2029010001;2029100001;2029020036;2029110001;2023900024,2029010001;2029100001;2029020036;2029110001;2023900024,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101;2092075;2092093;2092094;2092109;2092112;2092113;2092114;2091182;2091183,1385 WASHINGTON AVENUE,Not Available,10456,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2114950,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,45,102.1,Not Available,Not Available,Not Available,Not Available,Not Available,31602,Not Available,Not Available,Not Available,Not Available,215996055.9,Not Available,Not Available,Not Available,11474.9,11474.9,0,2114950,Not Available,Not Available,107.2,6/2/17 10:55 AM,,
N/A,4473971,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,4473971,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,4004700001;4004700100;4004700200;4004650001;4004650100,4004700001;4004700100;4004700200;4004650001;4004650100,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,40-01 12TH STREET,Not Available,11101,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2533600,Not Available,Not Available,Not Available,Not Available,1940,28,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2533600,Not Available,Not Available,Not Available,6/2/17 10:55 AM,,
N/A,2831151,QUEENSBRIDGE NORTH,4473971,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,4004700001;4004700100;4004700200,4004700001;4004700100;4004700200,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798,40-01 12TH STREET,Not Available,11101,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1249000,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,60,132.6,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,165318420.1,1794994.3,307994.4,Not Available,8809.4,8780.9,28.6,1249000,Not Available,Not Available,139.8,6/2/17 3:37 PM,,
N/A,2831152,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH,4473971,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,4004700001;4004700100;4004700200;4004650001;4004650100,4004700001;4004700100;4004700200;4004650001;4004650100,4433367;4433372;4433373;4433378;4433379;4433380;4433381;4433382;4433383;4433384;4433385;4433386;4433387;4433388;4441787;4441791;4441792;4441793;4441798;4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,40-01 12TH STREET,Not Available,11101,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2533600,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,98,30.3,29.8,7.3,0,83.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12065757.4,122845.5,64768568.1,18495192,6651.4,640.9,6010.5,2533600,Not Available,Not Available,85.3,6/2/17 10:55 AM,,
N/A,2831153,QUEENSBRIDGE SOUTH,4473971,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,4004650001;4004650100,4004650001;4004650100,4433389;4433390;4433391;4433392;4433393;4433398;4433399;4433403;4433404;4433405;4433410;4433411;4433416;4433417;4433421;4433422,41-01 12TH STREET,Not Available,11101,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1284600,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,89868482.7,969797.4,Not Available,Not Available,Not Available,4773.3,Not Available,1284600,Not Available,Not Available,Not Available,6/2/17 10:55 AM,,
N/A,4473976,RED HOOK EAST/RED HOOK WEST CAMPUS,4473976,RED HOOK EAST/RED HOOK WEST CAMPUS,3005380001;3005330001;3005570001,3005380001;3005330001;3005570001,3332069;3332216;3332217;3332218;3332219;3332220;3332221;3332224;3332225;3332226;3332227;3332228;3332230;3334251;3339411;3339412;3339413;3398223;3323702;3323703;3323704;3326206;3326207;3326974;3326975;3326976;3326977;3326978;3332215;3332222;3332223;3332229;3378168,604 CLINTON STREET,Not Available,11231,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2728410,Not Available,Not Available,Not Available,Not Available,1939,32,100,Whole Building,Not Available,11,138.4,Not Available,6.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,312720825.3,Not Available,64978349.1,18725922.9,22640.1,16610.1,6030,2728410,Not Available,Not Available,195.1,6/2/17 10:55 AM,,
N/A,2831159,RED HOOK EAST,4473976,RED HOOK EAST/RED HOOK WEST CAMPUS,3005380001,3005380001,3332069;3332216;3332217;3332218;3332219;3332220;3332221;3332224;3332225;3332226;3332227;3332228;3332230;3334251;3339411;3339412;3339413;3398223,604 CLINTON STREET,Not Available,11231,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2397300,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,100,64.9,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,155693783.7,Not Available,Not Available,Not Available,8269.6,8269.6,0,2397300,Not Available,Not Available,68.2,6/2/17 10:55 AM,,
N/A,2831160,RED HOOK EAST/RED HOOK WEST,4473976,RED HOOK EAST/RED HOOK WEST CAMPUS,3005380001;3005330001;3005570001,3005380001;3005330001;3005570001,3332069;3332216;3332217;3332218;3332219;3332220;3332221;3332224;3332225;3332226;3332227;3332228;3332230;3334251;3339411;3339412;3339413;3398223;3323702;3323703;3323704;3326206;3326207;3326974;3326975;3326976;3326977;3326978;3332215;3332222;3332223;3332229;3378168,604 CLINTON STREET,Not Available,11231,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2728410,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Not Available,99,25.8,25.5,6.9,0,75.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5546277.6,56445.5,64978349.1,18725922.9,6324.6,294.6,6030,2728410,Not Available,Not Available,76.9,6/2/17 10:55 AM,,
N/A,2831161,RED HOOK WEST,4473976,RED HOOK EAST/RED HOOK WEST CAMPUS,3005330001;3005380001;3005570001,3005330001;3005380001;3005570001,3323702;3323703;3323704;3326206;3326207;3326974;3326975;3326976;3326977;3326978;3332215;3332222;3332223;3332229;3378168,80 DWIGHT STREET,Not Available,11231,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,331110,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Not Available,1,457.5,484.9,Not Available,4.8,509.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,151480764.1,1605388,Not Available,Not Available,8045.9,8045.9,0,331110,Not Available,Not Available,480.4,6/2/17 10:55 AM,,
N/A,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003620010;1003670001;1003620001;1003560001;1003230001,1003620010;1003670001;1003620001;1003560001;1003230001,1077504;1077538;1077539;1077540;1077541;1077543;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077555;1077896;1078045;1078046;1078047;1078048;1078049;1078050;1078051;1078052;1078053;1078054;1078055;1078056;1078057;1078058;1078059;1085575;1078027;1078028;1078029;1078030;1078031;1078032;1078033;1078034;1078035;1078036;1078037;1078038;1078039;1078040;1078041;1078042;1083421;1087112;1078043,152 AVENUE D,Not Available,10009,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,5348775,Not Available,Not Available,Not Available,Not Available,1949,56,100,Whole Building,Whole Building,11,149.7,158.4,7.5,1.3,220,Not Available,0,Not Available,Not Available,Not Available,Not Available,659214323.3,7094418.8,141300749.4,40316788.3,48126.7,35014,13112.7,5348775,6771.8,1.27,212.4,6/2/17 10:55 AM,,
N/A,2830944,BARUCH,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003230001,1003230001,1078027;1078028;1078029;1078030;1078031;1078032;1078033;1078034;1078035;1078036;1078037;1078038;1078039;1078040;1078041;1078042;1083421;1087112,605 FDR DRIVE,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1993701,Not Available,Not Available,Not Available,Not Available,1959,1,100,Whole Building,Not Available,100,3.5,3.5,0.9,0,10.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,734701.8,7347,6327729.6,1803783.4,626.2,39,587.2,1993701,Not Available,Not Available,10.4,6/2/17 10:45 AM,,
N/A,2830945,BARUCH HOUSES ADDITION,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003230001,1003230001,1078043,72 COLUMBIA STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,140963,Not Available,Not Available,Not Available,Not Available,1977,1,100,Whole Building,Not Available,100,18.8,17.9,5.2,Not Available,56.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2650358.9,739987.9,246,0,246,140963,Not Available,Not Available,59,6/2/17 10:45 AM,,
N/A,3128085,BARUCH/BARUCH HOUSES ADDITION,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003230001,1003230001,1078027;1078028;1078029;1078030;1078031;1078032;1078033;1078034;1078035;1078036;1078037;1078038;1078039;1078040;1078041;1078042;1083421;1087112;1078043,605 FDR DRIVE,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2134664,Not Available,Not Available,Not Available,Not Available,1959,1,100,Whole Building,Not Available,88,108.1,116.8,Not Available,1.2,122.6,Not Available,0,Not Available,Not Available,Not Available,Not Available,230738412.4,2493050.5,Not Available,Not Available,12255.6,12255.6,0,2134664,Not Available,Not Available,113.5,6/2/17 10:45 AM,,
N/A,2831240,WALD,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003560001,1003560001,1077896;1078045;1078046;1078047;1078048;1078049;1078050;1078051;1078052;1078053;1078054;1078055;1078056;1078057;1078058;1078059;1085575,10 AVENUE D,Not Available,10009,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1702331,Not Available,Not Available,Not Available,Not Available,1949,1,100,Whole Building,Not Available,92,102.7,111.6,Not Available,1.1,117.2,Not Available,0,Not Available,Not Available,Not Available,Not Available,174778921.9,1899749.8,Not Available,Not Available,9283.3,9283.3,0,1702331,Not Available,Not Available,107.8,6/2/17 11:13 AM,,
N/A,2831169,RIIS/RIIS II/WALD/BARUCH,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003620010;1003670001;1003620001;1003560001;1003230001,1003620010;1003670001;1003620001;1003560001;1003230001,1077504;1077538;1077539;1077540;1077541;1077543;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077555;1077896;1078045;1078046;1078047;1078048;1078049;1078050;1078051;1078052;1078053;1078054;1078055;1078056;1078057;1078058;1078059;1085575;1078027;1078028;1078029;1078030;1078031;1078032;1078033;1078034;1078035;1078036;1078037;1078038;1078039;1078040;1078041;1078042;1083421;1087112,152 AVENUE D,Not Available,10009,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,5207812,Not Available,Not Available,Not Available,Not Available,1959,1,100,Whole Building,Not Available,99,30.1,29.5,7.2,0,82.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24208819,245673.4,132322660.9,37755703.3,13565.4,1285.8,12279.5,5207812,Not Available,Not Available,84.7,6/2/17 10:55 AM,,
N/A,3128122,RIIS/RIIS II,4474020,RIIS/RIIS II/WALD/BARUCH/BARUCH HOUSES ADDITION CAMPUS,1003620010;1003670001;1003620001,1003620010;1003670001;1003620001,1077504;1077538;1077539;1077540;1077541;1077543;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077555,152 AVENUE D,Not Available,10009,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1511780,Not Available,Not Available,Not Available,Not Available,1949,1,100,Whole Building,Whole Building,52,151.3,162.1,Not Available,1.6,170.2,Not Available,0,Not Available,Not Available,Not Available,Not Available,228753468.1,2451183.1,Not Available,Not Available,12150.2,12150.2,0,1511780,6771.8,4.48,158.9,6/2/17 10:55 AM,,
N/A,4474023,ROOSEVELT I/ROOSEVELT II CAMPUS,4474023,ROOSEVELT I/ROOSEVELT II CAMPUS,3015970001;3015980001;3016010024;3015950001;3015950024,3015970001;3015980001;3016010024;3015950001;3015950024,3043216;3324968;3324969;3324970;3324972;3324973;3043112;3043113;3341752,153 MARCUS GARVEY BOULEVARD,Not Available,11206,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1074000,Not Available,Not Available,Not Available,Not Available,1964,9,100,Whole Building,Not Available,10,143.3,152,7.4,1.3,212.2,Not Available,0,Not Available,Not Available,Not Available,Not Available,126259379.9,1362054.3,27608382.5,7926967.3,9268.3,6706.2,2562,1074000,Not Available,Not Available,204.2,6/2/17 10:55 AM,,
N/A,2831172,ROOSEVELT I,4474023,ROOSEVELT I/ROOSEVELT II CAMPUS,3015970001;3015980001;3016010024,3015970001;3015980001;3016010024,3043216;3324968;3324969;3324970;3324972;3324973,153 MARCUS GARVEY BOULEVARD,Not Available,11206,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,749000,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,99,25.6,25.1,7.4,0,78.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5331.3,53.3,19204845.6,5516746.4,1782.5,0.3,1782.2,749000,Not Available,Not Available,80.5,6/2/17 10:55 AM,,
N/A,2831173,ROOSEVELT II,4474023,ROOSEVELT I/ROOSEVELT II CAMPUS,3015950001;3015950024,3015950001;3015950024,3043112;3043113;3341752,93 LEWIS AVENUE,Not Available,11206,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,325000,Not Available,Not Available,Not Available,Not Available,1966,1,100,Whole Building,Not Available,99,26.1,25.6,7.4,0,79.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89814.3,898.1,8403536.9,2410210.9,784.6,4.8,779.8,325000,Not Available,Not Available,81.5,6/2/17 10:55 AM,,
N/A,3128123,ROOSEVELT I/ROOSEVELT II,4474023,ROOSEVELT I/ROOSEVELT II CAMPUS,3015970001;3015980001;3016010024;3015950001;3015950024,3015970001;3015980001;3016010024;3015950001;3015950024,3043216;3324968;3324969;3324970;3324972;3324973;3043112;3043113;3341752,153 MARCUS GARVEY BOULEVARD,Not Available,11206,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1074000,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,78,117.5,126.7,Not Available,1.3,133.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,126164234.3,1361211.4,Not Available,Not Available,6701.2,6701.2,0,1074000,Not Available,Not Available,123.3,6/2/17 10:55 AM,,
N/A,4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,3073870001;3074051001;3073890001;3074080001,3073870001;3074051001;3073890001;3074080001,3320775;3320776;3320777;3320778;3320779;3320780;3320781;3320782;3320783;3345785;3345786;3345787;3345788;3345789;3345791;3345792;3345793;3334399;3337289;3337294;3337295;3337297;3337299;3337300;3337302;3337303;3337305;3344548;3344549;3344550;3344551;3344552;3344553;3344554;3344555,2985 AVENUE X,Not Available,11235,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2104000,Not Available,Not Available,Not Available,Not Available,1950,35,100,Whole Building,Not Available,5,154.7,163.2,7.3,1.4,223.2,Not Available,0,Not Available,Not Available,Not Available,Not Available,272561431.2,2911181.7,52874956.4,15303442,19383.8,14477,4906.8,2104000,Not Available,Not Available,214.9,6/2/17 10:55 AM,,
N/A,2831133,NOSTRAND,4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,3073890001;3074080001,3073890001;3074080001,3320775;3320776;3320777;3320778;3320779;3320780;3320781;3320782;3320783;3345785;3345786;3345787;3345788;3345789;3345791;3345792;3345793,2241 BATCHELDER STREET,Not Available,11229,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1129800,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,3.6,3.7,0,0,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4078955.4,41528.4,0,0,216.7,216.7,0,1129800,Not Available,Not Available,3.8,6/2/17 10:55 AM,,
N/A,2831188,SHEEPSHEAD BAY,4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,3073870001;3074051001,3073870001;3074051001,3334399;3337289;3337294;3337295;3337297;3337299;3337300;3337302;3337303;3337305;3344548;3344549;3344550;3344551;3344552;3344553;3344554;3344555,2985 AVENUE X,Not Available,11235,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,974200,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,4.2,4.2,0,0,4.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4081558.8,41341.9,0,0,216.8,216.8,0,974200,Not Available,Not Available,4.4,6/2/17 10:55 AM,,
N/A,2831189,SHEEPSHEAD BAY/NOSTRAND,4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,3073870001;3074051001;3073890001;3074080001,3073870001;3074051001;3073890001;3074080001,3320775;3320776;3320777;3320778;3320779;3320780;3320781;3320782;3320783;3345785;3345786;3345787;3345788;3345789;3345791;3345792;3345793;3334399;3337289;3337294;3337295;3337297;3337299;3337300;3337302;3337303;3337305;3344548;3344549;3344550;3344551;3344552;3344553;3344554;3344555,2985 AVENUE X,Not Available,11235,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2104000,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,6,150.8,159.3,7.3,1.3,219.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,264400917,2829574.8,52874956.4,15303442,18950.4,14043.6,4906.8,2104000,Not Available,Not Available,210.9,6/2/17 10:55 AM,,
N/A,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,106-24 159TH STREET,Not Available,11433,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1000518,Not Available,Not Available,Not Available,Not Available,1940,27,100,Whole Building,Not Available,5,155.5,163.2,7.3,1.4,223.2,Not Available,0,Not Available,Not Available,Not Available,Not Available,130409580.3,1385400.4,25168721.3,7262069.5,9262.3,6926.7,2335.6,1000518,Not Available,Not Available,215.8,6/2/17 11:13 AM,,
N/A,2831196,SOUTH JAMAICA I,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051,4101250033;4101460051,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473,106-24 159TH STREET,Not Available,11433,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,341600,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,100,0,0,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2415.7,708,0.2,0,0.2,341600,Not Available,Not Available,0,6/2/17 11:13 AM,,
N/A,2831197,SOUTH JAMAICA I/SOUTH JAMAICA II,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,106-24 159TH STREET,Not Available,11433,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1000518,Not Available,Not Available,Not Available,Not Available,1954,1,100,Whole Building,Not Available,5,155.5,163.2,7.3,1.4,223.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,130409580.3,1385400.4,25166305.6,7261372.4,9262.1,6926.7,2335.4,1000518,Not Available,Not Available,215.8,6/2/17 11:13 AM,,
N/A,4474034,VLADECK/VLADECK II CAMPUS,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024;1002630001,1002600001;1002600075;1002670024;1002630001,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,70 GOUVERNEUR STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1391256,Not Available,Not Available,Not Available,Not Available,1940,24,100,Whole Building,Not Available,7,153.2,160.5,7.7,1.3,223.3,Not Available,0,Not Available,Not Available,Not Available,Not Available,175659015.2,1868594.9,37510366.8,10690324.2,12811,9330.1,3481,1391256,Not Available,Not Available,217.2,6/2/17 11:13 AM,,
N/A,2831236,VLADECK,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024,1002600001;1002600075;1002670024,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405,70 GOUVERNEUR STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1190112,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,99,80.6,84.4,Not Available,0.8,88.7,Not Available,0,Not Available,Not Available,Not Available,Not Available,95947779.6,1005049.1,Not Available,Not Available,5096.2,5096.2,0,1190112,Not Available,Not Available,84.7,6/2/17 11:13 AM,,
N/A,2831238,VLADECK/VLADECK II,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024;1002630001,1002600001;1002600075;1002670024;1002630001,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,70 GOUVERNEUR STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1391256,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,58,84.3,86,7.7,0.6,145.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,79711235.6,831853.4,37510366.8,10690324.2,7714.8,4233.8,3481,1391256,Not Available,Not Available,144.8,6/2/17 11:13 AM,,
N/A,4474067,WHITMAN/INGERSOLL CAMPUS,4474067,WHITMAN/INGERSOLL CAMPUS,3020400001;3020410001;3020340001;3020500001,3020400001;3020410001;3020340001;3020500001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021;3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230;3335231;3335232;3335233;3340606;3345032;3345036,131 CUMBERLAND WALK,Not Available,11205,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2870100,Not Available,Not Available,Not Available,Not Available,1944,39,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,1.3,Not Available,Not Available,26656357.9,Not Available,Not Available,Not Available,Not Available,339837390.6,3650064.9,Not Available,Not Available,Not Available,20028.5,Not Available,2870100,Not Available,Not Available,Not Available,6/2/17 11:13 AM,,
N/A,2831076,INGERSOLL,4474067,WHITMAN/INGERSOLL CAMPUS,3020340001;3020500001,3020340001;3020500001,3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230;3335231;3335232;3335233;3340606;3345032;3345036,102 MONUMENT WALK,Not Available,11205,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1521000,Not Available,Not Available,Not Available,Not Available,1944,1,100,Whole Building,Not Available,74,129.6,138.5,Not Available,1.4,145.4,Not Available,0,Not Available,Not Available,Not Available,Not Available,197197146.8,2106891.5,Not Available,Not Available,10474.1,10474.1,0,1521000,Not Available,Not Available,136.1,6/2/17 10:49 AM,,
