Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft_),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft_),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft_),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft_),Weather Normalized Site EUI (kBtu/ft_),Weather Normalized Site Electricity Intensity (kWh/ft_),Weather Normalized Site Natural Gas Intensity (therms/ft_),Weather Normalized Source EUI (kBtu/ft_),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft_),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft_),Source EUI (kBtu/ft_),Release Date,Water Required?,DOF Benchmarking Submission Status
N/A,2831087,LA GUARDIA ADDITION,4473936,LA GUARDIA/LA GUARDIA ADDITION CAMPUS,1002560014,1002560014,1003211,282 CHERRY STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,108552,Not Available,Not Available,Not Available,Not Available,1965,1,100,Whole Building,Not Available,100,26.3,25.9,5,0.1,63.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,953769.2,9537.7,1896476.4,545658.5,226.7,50.7,176,108552,Not Available,Not Available,64.1,6/2/17 10:55 AM,,
N/A,2831086,LA GUARDIA,4473936,LA GUARDIA/LA GUARDIA ADDITION CAMPUS,1002560001;1002580001,1002560001;1002580001,1077514;1077515;1077516;1077517;1077518;1083384;1083385;1083386;1083387,45 RUTGERS STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1058212,Not Available,Not Available,Not Available,Not Available,1957,1,100,Whole Building,Not Available,99,30.5,Not Available,7.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5252045.8,Not Available,27046428.1,7616057.7,2788.9,279,2509.9,1058212,Not Available,Not Available,85.5,6/2/17 10:55 AM,,
N/A,3128118,LA GUARDIA/LA GUARDIA ADDITION,4473936,LA GUARDIA/LA GUARDIA ADDITION CAMPUS,1002560001;1002580001;1002560014,1002560001;1002580001;1002560014,1077514;1077515;1077516;1077517;1077518;1083384;1083385;1083386;1083387;1003211,45 RUTGERS STREET,Not Available,10002,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1166764,Not Available,Not Available,Not Available,Not Available,1957,1,100,Whole Building,Not Available,86,108.2,116.1,Not Available,1.2,121.9,Not Available,0,Not Available,Not Available,Not Available,Not Available,126286333.1,1355047.8,Not Available,Not Available,6707.7,6707.7,0,1166764,Not Available,Not Available,113.6,6/2/17 10:55 AM,,
N/A,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016050024;1016080023;1016100023;1016260001;1016260021;1016470001;1016490001;1016520001,1016050024;1016080023;1016100023;1016260001;1016260021;1016470001;1016490001;1016520001,1078911;1078912;1082319;1082320;1074265;1079202;1079203;1080680;1080681;1080682;1080683;1082342;1082343;1082344;1082345;1083456;1083457;1083461;1083462;1083464;1813126;1078838;1078839;1078840;1078841;1079192;1079193;1082312;1082313;1082314;1082315;1082659;1082660;1082661,110 EAST 99TH STREET,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,3094106,Not Available,Not Available,Not Available,Not Available,1951,32,100,Whole Building,Not Available,Not Available,Not Available,Not Available,7.7,Not Available,Not Available,Not Available,48714,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83570314.5,23685084.8,Not Available,Not Available,7755.3,3094106,Not Available,Not Available,Not Available,6/2/17 10:55 AM,,
N/A,2830986,CARVER,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016050024;1016080023;1016100023,1016050024;1016080023;1016100023,1078838;1078839;1078840;1078841;1079192;1079193;1082312;1082313;1082314;1082315;1082659;1082660;1082661,65 EAST 99TH STREET,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1164050,Not Available,Not Available,Not Available,Not Available,1958,1,100,Whole Building,Not Available,98,86.2,92.2,0,0.9,96.8,Not Available,48714,Not Available,Not Available,Not Available,Not Available,100263776.1,1072445,2415.7,708,5329.3,5329.1,0.2,1164050,Not Available,Not Available,90.5,6/2/17 10:49 AM,,
N/A,2831093,LEXINGTON,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016260001;1016260021,1016260001;1016260021,1078911;1078912;1082319;1082320,110 EAST 99TH STREET,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,525668,Not Available,Not Available,Not Available,Not Available,1951,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,525668,Not Available,Not Available,Not Available,6/2/17 10:55 AM,,
N/A,2831094,LEXINGTON/WASHINGTON/CARVER,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016050024;1016080023;1016100023;1016260001;1016260021;1016470001;1016490001;1016520001,1016050024;1016080023;1016100023;1016260001;1016260021;1016470001;1016490001;1016520001,1078911;1078912;1082319;1082320;1074265;1079202;1079203;1080680;1080681;1080682;1080683;1082342;1082343;1082344;1082345;1083456;1083457;1083461;1083462;1083464;1813126;1078838;1078839;1078840;1078841;1079192;1079193;1082312;1082313;1082314;1082315;1082659;1082660;1082661,110 EAST 99TH STREET,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,3094106,Not Available,Not Available,Not Available,Not Available,1958,1,100,Whole Building,Not Available,98,31.2,30.4,7.6,0,86.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13047194.1,134385.8,83567857.9,23593819.6,8448.1,693,7755.1,3094106,Not Available,Not Available,89.2,6/2/17 10:55 AM,,
N/A,2831242,WASHINGTON,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016470001;1016490001;1016520001,1016470001;1016490001;1016520001,1074265;1079202;1079203;1080680;1080681;1080682;1080683;1082342;1082343;1082344;1082345;1083456;1083457;1083461;1083462;1083464;1813126,1761 3RD AVENUE,Not Available,10029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1404388,Not Available,Not Available,Not Available,Not Available,1957,1,100,Whole Building,Not Available,100,73.6,82.6,0,0.8,86.8,Not Available,0,Not Available,Not Available,Not Available,Not Available,103297377.6,1160539.4,40.9,12,5486.6,5486.6,0,1404388,Not Available,Not Available,77.2,6/2/17 11:13 AM,,
N/A,4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,3037270001;3037450001;3035070001;3037090001,3037270001;3037450001;3035070001;3037090001,3080766;3326947;3326948;3326949;3084013;3327013;3327014;3327015,180 POWELL STREET,Not Available,11212,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,991000,Not Available,Not Available,Not Available,Not Available,1967,8,100,Whole Building,Not Available,6,139.8,144.8,7.6,1.1,206,Not Available,8828550.1,Not Available,Not Available,Not Available,Not Available,103524292.2,1088837.9,26141316.7,7548789.9,8579.7,6153.8,2425.9,991000,Not Available,Not Available,201.5,6/2/17 10:55 AM,,
N/A,2831047,GLENMORE PLAZA,4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,3035070001;3037090001,3035070001;3037090001,3080766;3326947;3326948;3326949,360 MOTHER GASTON BOULEVARD,Not Available,11212,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,450000,Not Available,Not Available,Not Available,Not Available,1968,1,100,Whole Building,Not Available,6,128.1,133,7,1.1,189.5,Not Available,0,Not Available,Not Available,Not Available,Not Available,46556428,491498.6,11098540.9,3140450.5,3502.8,2472.8,1029.9,450000,Not Available,Not Available,186.1,6/2/17 10:49 AM,,
