GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US360610005001024,360610005001024,"Block 1024, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001025,360610005001025,"Block 1025, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001026,360610005001026,"Block 1026, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001027,360610005001027,"Block 1027, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001028,360610005001028,"Block 1028, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001029,360610005001029,"Block 1029, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001030,360610005001030,"Block 1030, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001031,360610005001031,"Block 1031, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005001032,360610005001032,"Block 1032, Block Group 1, Census Tract 5, New York County, New York",0
1000000US360610005002000,360610005002000,"Block 2000, Block Group 2, Census Tract 5, New York County, New York",0
1000000US360610005002001,360610005002001,"Block 2001, Block Group 2, Census Tract 5, New York County, New York",0
1000000US360610005002002,360610005002002,"Block 2002, Block Group 2, Census Tract 5, New York County, New York",0
1000000US360610005002003,360610005002003,"Block 2003, Block Group 2, Census Tract 5, New York County, New York",0
1000000US360610005002004,360610005002004,"Block 2004, Block Group 2, Census Tract 5, New York County, New York",0
1000000US360610006000001,360610006000001,"Block 0001, Block Group 0, Census Tract 6, New York County, New York",0
1000000US360610006001000,360610006001000,"Block 1000, Block Group 1, Census Tract 6, New York County, New York",559
1000000US360610006001001,360610006001001,"Block 1001, Block Group 1, Census Tract 6, New York County, New York",1270
1000000US360610006001002,360610006001002,"Block 1002, Block Group 1, Census Tract 6, New York County, New York",454
1000000US360610006002000,360610006002000,"Block 2000, Block Group 2, Census Tract 6, New York County, New York",670
1000000US360610006002001,360610006002001,"Block 2001, Block Group 2, Census Tract 6, New York County, New York",327
1000000US360610006002002,360610006002002,"Block 2002, Block Group 2, Census Tract 6, New York County, New York",709
1000000US360610006002003,360610006002003,"Block 2003, Block Group 2, Census Tract 6, New York County, New York",0
1000000US360610006002004,360610006002004,"Block 2004, Block Group 2, Census Tract 6, New York County, New York",835
1000000US360610006002005,360610006002005,"Block 2005, Block Group 2, Census Tract 6, New York County, New York",0
1000000US360610006002006,360610006002006,"Block 2006, Block Group 2, Census Tract 6, New York County, New York",0
1000000US360610006003000,360610006003000,"Block 3000, Block Group 3, Census Tract 6, New York County, New York",499
1000000US360610006003001,360610006003001,"Block 3001, Block Group 3, Census Tract 6, New York County, New York",672
1000000US360610006003002,360610006003002,"Block 3002, Block Group 3, Census Tract 6, New York County, New York",0
1000000US360610006004000,360610006004000,"Block 4000, Block Group 4, Census Tract 6, New York County, New York",206
1000000US360610006004001,360610006004001,"Block 4001, Block Group 4, Census Tract 6, New York County, New York",1380
1000000US360610006005000,360610006005000,"Block 5000, Block Group 5, Census Tract 6, New York County, New York",633
1000000US360610006005001,360610006005001,"Block 5001, Block Group 5, Census Tract 6, New York County, New York",473
1000000US360610006005002,360610006005002,"Block 5002, Block Group 5, Census Tract 6, New York County, New York",643
1000000US360610006006000,360610006006000,"Block 6000, Block Group 6, Census Tract 6, New York County, New York",765
1000000US360610006006001,360610006006001,"Block 6001, Block Group 6, Census Tract 6, New York County, New York",0
1000000US360610006006002,360610006006002,"Block 6002, Block Group 6, Census Tract 6, New York County, New York",1267
1000000US360610006006003,360610006006003,"Block 6003, Block Group 6, Census Tract 6, New York County, New York",5
1000000US360610006006004,360610006006004,"Block 6004, Block Group 6, Census Tract 6, New York County, New York",0
1000000US360610007000001,360610007000001,"Block 0001, Block Group 0, Census Tract 7, New York County, New York",0
1000000US360610007001000,360610007001000,"Block 1000, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001001,360610007001001,"Block 1001, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001002,360610007001002,"Block 1002, Block Group 1, Census Tract 7, New York County, New York",471
1000000US360610007001003,360610007001003,"Block 1003, Block Group 1, Census Tract 7, New York County, New York",220
1000000US360610007001004,360610007001004,"Block 1004, Block Group 1, Census Tract 7, New York County, New York",970
1000000US360610007001005,360610007001005,"Block 1005, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001006,360610007001006,"Block 1006, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001007,360610007001007,"Block 1007, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001008,360610007001008,"Block 1008, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001009,360610007001009,"Block 1009, Block Group 1, Census Tract 7, New York County, New York",2011
1000000US360610007001010,360610007001010,"Block 1010, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001011,360610007001011,"Block 1011, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001012,360610007001012,"Block 1012, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001013,360610007001013,"Block 1013, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001014,360610007001014,"Block 1014, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001015,360610007001015,"Block 1015, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001016,360610007001016,"Block 1016, Block Group 1, Census Tract 7, New York County, New York",0
