GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US360470001001000,360470001001000,"Block 1000, Block Group 1, Census Tract 1, Kings County, New York",181
1000000US360470001001001,360470001001001,"Block 1001, Block Group 1, Census Tract 1, Kings County, New York",16
1000000US360470001001002,360470001001002,"Block 1002, Block Group 1, Census Tract 1, Kings County, New York",31
1000000US360470001001003,360470001001003,"Block 1003, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001004,360470001001004,"Block 1004, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001005,360470001001005,"Block 1005, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001006,360470001001006,"Block 1006, Block Group 1, Census Tract 1, Kings County, New York",4
1000000US360470001001007,360470001001007,"Block 1007, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001008,360470001001008,"Block 1008, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001009,360470001001009,"Block 1009, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001010,360470001001010,"Block 1010, Block Group 1, Census Tract 1, Kings County, New York",138
1000000US360470001001011,360470001001011,"Block 1011, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001001012,360470001001012,"Block 1012, Block Group 1, Census Tract 1, Kings County, New York",75
1000000US360470001001013,360470001001013,"Block 1013, Block Group 1, Census Tract 1, Kings County, New York",135
1000000US360470001001014,360470001001014,"Block 1014, Block Group 1, Census Tract 1, Kings County, New York",0
1000000US360470001002000,360470001002000,"Block 2000, Block Group 2, Census Tract 1, Kings County, New York",198
1000000US360470001002001,360470001002001,"Block 2001, Block Group 2, Census Tract 1, Kings County, New York",288
1000000US360470001002002,360470001002002,"Block 2002, Block Group 2, Census Tract 1, Kings County, New York",318
1000000US360470001002003,360470001002003,"Block 2003, Block Group 2, Census Tract 1, Kings County, New York",135
1000000US360470001003000,360470001003000,"Block 3000, Block Group 3, Census Tract 1, Kings County, New York",0
1000000US360470001003001,360470001003001,"Block 3001, Block Group 3, Census Tract 1, Kings County, New York",0
1000000US360470001003002,360470001003002,"Block 3002, Block Group 3, Census Tract 1, Kings County, New York",249
1000000US360470001003003,360470001003003,"Block 3003, Block Group 3, Census Tract 1, Kings County, New York",57
1000000US360470001003004,360470001003004,"Block 3004, Block Group 3, Census Tract 1, Kings County, New York",231
1000000US360470001003005,360470001003005,"Block 3005, Block Group 3, Census Tract 1, Kings County, New York",232
1000000US360470001003006,360470001003006,"Block 3006, Block Group 3, Census Tract 1, Kings County, New York",586
1000000US360470001004000,360470001004000,"Block 4000, Block Group 4, Census Tract 1, Kings County, New York",447
1000000US360470001004001,360470001004001,"Block 4001, Block Group 4, Census Tract 1, Kings County, New York",529
1000000US360470001004002,360470001004002,"Block 4002, Block Group 4, Census Tract 1, Kings County, New York",488
1000000US360470002001000,360470002001000,"Block 1000, Block Group 1, Census Tract 2, Kings County, New York",60
1000000US360470002001001,360470002001001,"Block 1001, Block Group 1, Census Tract 2, Kings County, New York",0
1000000US360470002001002,360470002001002,"Block 1002, Block Group 1, Census Tract 2, Kings County, New York",0
1000000US360470002001003,360470002001003,"Block 1003, Block Group 1, Census Tract 2, Kings County, New York",58
