NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2306,,9385 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
2306,,9375 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,,1DAY CARE CENTER
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,312
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2311,,1215 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,,1HEATING STOREROOM/ JANITORIAL
,,,,,,,STORE ROOM/ MAINTENANCE SHOP/
,,,,,,,MAINTENANCE STORE ROOM
2311,,1217 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,
2311,,1225 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,,1DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
2311,,1205 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,,1ELEVATOR SERVICE AREA #5/
,,,,,,,BOILER/ PLUMBERS SHOP
2311,,1207 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,
2311,,1175 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,,1ELECTRICIAN'S SHOP/ MAINTENANCE
,,,,,,,AND JANITORIAL STORAGE ROOM
2311,,1177 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,
2311,,1185 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,
2311,,1303 EAST 135TH STREET,10454,MITCHEL,MITCHEL,,1CABINET STORAGE/ CARPENTERS
,,,,,,,SHOP/ GROUNDS SHOP
2311,,1305 EAST 135TH STREET,10454,MITCHEL,MITCHEL,1,
2311,,1300 EAST 138TH STREET,10454,MITCHEL,MITCHEL,,1ELECTRICIANS STORAGE ROOM/
,,,,,,,ELEVATOR SHOP/ EXTERMINATOR
