NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
4629,50712 GUN HILL ROAD,,10467,GUN HILL,GUN HILL,12,
4629,50740 GUN HILL ROAD,,10467,GUN HILL,GUN HILL,12,
4629,50744 GUN HILL ROAD,,10467,GUN HILL,GUN HILL,12COMMUNITY OPERATIONS SPACE,
,,,,,,,(VACANT)
4629,503435 HOLLAND AVENUE,,10467,GUN HILL,GUN HILL,12,
4629,503445 HOLLAND AVENUE,,10467,GUN HILL,GUN HILL,12COMMUNITY OPERATIONS SPACE,
,,,,,,,(VACANT)
4629,503415 HOLLAND AVENUE,,10467,GUN HILL,GUN HILL,12DEVELOPMENT MAINTENANCE,
,,,,,,,OFFICE
4629,50711 MAGENTA STREET,,10467,GUN HILL,GUN HILL,12DEVELOPMENT GROUNDS/ GARDEN,
,,,,,,,SHOP
4629,50731 MAGENTA STREET,,10467,GUN HILL,GUN HILL,12DEVELOPMENT MANAGEMENT,
,,,,,,,OFFICE/LAUNDRY ROOM
4629,50735 MAGENTA STREET,,10467,GUN HILL,GUN HILL,12BOILER/ STOREROOM,
4629,50745 MAGENTA STREET,,10467,GUN HILL,GUN HILL,12COMMUNITY CENTER,
4629,503440 WHITE PLAINS ROAD,,10467,GUN HILL,GUN HILL,12DAY CARE CENTER,
4629,503444 WHITE PLAINS ROAD,,10467,GUN HILL,GUN HILL,12ELEVATOR SHOP/ PAINT SHOP/,
,,,,,,,PLASTERERS SHOP/ X-SHOP
4629,503450 WHITE PLAINS ROAD,,10467,GUN HILL,GUN HILL,12COMMUNITY OPERATIONS SPACE,
,,,,,,,(VACANT)
4781,293027 EDSON AVENUE,,10469,FHA REPOSSESSED HOUSES,BAISLEY PARK,12,
,,,,(GROUP III),,,
4905,,11187 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11183 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11169 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,330
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
4905,,11165 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11145 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11151 226TH DRIVE,10466,EDENWALD,EDENWALD,12LAUNDRY ROOM,
4905,,11141 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11131 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11135 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11138 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11130 226TH DRIVE,10466,EDENWALD,EDENWALD,12,
4905,,11137 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11139 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11125 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11127 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11126 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11146 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12DEVELOPMENT STOREROOM,
4905,,11189 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11173 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12ROOFTOP LEASE LOCATION,
4905,,11159 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11161 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11147 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11149 229TH DRIVE NORTH,10466,EDENWALD,EDENWALD,12,
4905,,11170 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12BOILER,
4905,,11135 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12PRAM ROOM,
4905,,11153 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12GROUNDS SHOP/ ROOFTOP LEASE,
,,,,,,,LOCATION
4905,,11155 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12,
4905,,11130 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12GLAZIER & CARPENTERS SHOP,
4905,,11132 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12CARPENTERS SHOP/ GLAZIERS SHOP,
4905,,11138 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12,
4905,,11154 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12,
4905,,11160 229TH DRIVE SOUTH,10466,EDENWALD,EDENWALD,12,
4905,,13881 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,13885 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,13861 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,13865 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,13841 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,13845 BAYCHESTER AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,11115 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11121 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11155 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11161 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11181 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11175 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11195 EAST 225TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11149GAR EAST 229TH DRIVE,10466,EDENWALD,EDENWALD,12GARAGE,
,,NORTH,,,,,
4905,,11107 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11111 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11135 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12PLASTERERS SHOP,
4905,,11141 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12PRAM ROOM,
4905,,11145 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12DEVELOPMENT MANAGEMENT,
,,,,,,,OFFICE
4905,,11151 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11165 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12POLICE SERVICE AREA #8 SATELLITE,
4905,,11175 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11195 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11128 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11120 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12,
4905,,11140 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12DAY CARE CENTER,
4905,,11150 EAST 229TH STREET,10466,EDENWALD,EDENWALD,12COMMUNITY CENTER,
4905,,11165 EAST 229TH STREET,10466,POLICE SERVICE AREA #8 SATELLITE,NYPD HOUSING BUREAU,12PSA #8 SATELLITE OFFICE IS,
,,,,,,,LOCATED IN EDENWALD
,,,,,,,DEVELOPMENT (BLDG #17)
4905,,11180 GRENADA PLACE,10466,EDENWALD,EDENWALD,12,
4905,,11186 GRENADA PLACE,10466,EDENWALD,EDENWALD,12,
4905,,11166 GRENADA PLACE,10466,EDENWALD,EDENWALD,12,
4905,,11160 GRENADA PLACE,10466,EDENWALD,EDENWALD,12,
4905,,14044 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14040 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14056 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14064 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14020 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14024 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14034 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14030 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14000 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,14010 LACONIA AVENUE,10466,EDENWALD,EDENWALD,12,
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,331
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
4905,,11895 SCHIEFFELIN AVENUE,,EDENWALD,EDENWALD,12PLAYGROUND (MANAGED BY NYC,
,,,,,,,DEPARTMENT OF PARKS &
,,,,,,,RECREATION)
4905,,11855 SCHIEFFELIN AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,11981 SCHIEFFELIN AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,11985 SCHIEFFELIN AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,11961 SCHIEFFELIN AVENUE,10466,EDENWALD,EDENWALD,12,
4905,,11965 SCHIEFFELIN AVENUE,10466,EDENWALD,EDENWALD,12,
5263,403475 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12,
5263,403485 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12BOILER/ HPT SHOP,
5263,403545 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12,
5263,403555 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12LAUNDRY ROOM,
5263,403565 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12,
5263,703540 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12COMMUNITY CENTER / SENIOR,
,,,,,,,CENTER
5263,703550 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12BRICKLAYERS SHOP/ ELEVATOR,
,,,,,,,SHOP
5263,703560 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12,
5263,703570 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12DEVELOPMENT MANAGEMENT,
,,,,,,,OFFICE
5263,703580 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12DEVELOPMENT MAINTENANCE AREA/,
,,,,,,,MAINTENANCE SHOP/ STOREROOM
5263,703540 BIVONA STREET,,10475,BOSTON SECOR,BOSTON SECOR,12BUILDING IS LEASED TO THE,
,,,,,,,DEPARTMENT OF EDUCATION
5263,702175 REEDS MILL LANE,,10475,BOSTON SECOR,BOSTON SECOR,12CONTRACTOR PAINT SHOP/,
,,,,,,,EXTERMINATOR SHOP/ GARDEN
,,,,,,,SHOP/ HOUSING PAINT SHOP/
,,,,,,,PLASTERERS SHOP/ REFRIGERATOR
,,,,,,,STOREROOM
5263,702185 REEDS MILL LANE,,10475,BOSTON SECOR,BOSTON SECOR,12,
5263,702185GAR REEDS MILL LANE,,10475,BOSTON SECOR,BOSTON SECOR,12GARAGE,
5564,,1550 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10COMMUNITY CENTER,
5564,,1560 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10BOILER/ROOFTOP LEASE LOCATION,
5564,,1570 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,
5564,,1580 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,
5564,,1505 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,1515 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,1545 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,1555 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,1595 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10ROOFTOP LEASE LOCATION,
5564,,12773 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12775 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12777 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12791 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10GROUNDS SHOP,
5564,,12793 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12795 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12801 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10GROUNDS SHOP,
5564,,12805 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10BOILER,
5564,,12815 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10CARPENTERS STORAGE ROOM/,
,,,,,,,CONTRACTOR PAINT SHOP/ ROOFER
,,,,,,,SHOPS
5564,,12821 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10GROUNDS STORAGE ROOM,
5564,,12829 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12831 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12745 DEWEY AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,
5564,,12755 DEWEY AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10CARPENTERS SHOP/ PLASTERERS,
,,,,,,,SHOP
5564,,12776 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10SPRAYER SHOP,
5564,,12778 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12780 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12790 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10COMPACTOR BAG STORAGE ROOM,
5564,,12794 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12800 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10JANITORIAL SUPPLIES STORAGE,
,,,,,,,ROOM
5564,,12802 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12804 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12816 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12820 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10DEVELOPMENT MAINTENANCE,
,,,,,,,OFFICE/ MAIN STOREROOM/
,,,,,,,MAINTENANCE SHOP
5564,,12822 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5564,,12824 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10DEVELOPMENT MANAGEMENT,
,,,,,,,OFFICE
5564,,12830 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,1680 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10BRONX & MANHATTAN REPAIR UNIT-,
,,,,,,,TECH SERVICES DEPOT
5567,,1690 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10ELEVATOR SHOP,
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,332
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
5567,,12794 RANDALL AVENUE,10465,POLICE SERVICE AREA #8,NYPD HOUSING BUREAU,10PSA #8 IS LOCATED IN THROGGS,
,,,,,,,NECK DEVELOPMENT (BLDG #29)
5567,,12780 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10POLICE SERVICE AREA #8 STORAGE,
,,,,,,,ROOM
5567,,12784 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12790 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12794 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10POLICE SERVICE AREA #8,
5567,,12798 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12770A RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10STORAGE SHED A-TECH SERVICES,
,,,,,,,DEPOT
5567,,12770B RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10STORAGE SHED B-TECH SERVICES,
,,,,,,,DEPOT
5567,,12777 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12779 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12787 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12789 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12801 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12803 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10JANITORIAL SUPPLIES STORAGE,
,,,,,,,ROOM
5567,,12805 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10MAINTENANCE STORAGE ROOM,
5567,,12815 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10GLASS STORAGE ROOM/ GLAZIERS,
,,,,,,,SHOP
5567,,12819 SCHLEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5567,,12745 SCHLEY AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10ELEVATOR SHOP,
5567,,12755 SCHLEY AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,
5568,,1650 BUTTRICK AVENUE,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,
5568,502705 SCHLEY AVENUE,,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10SENIOR CENTER/ BOILER/ LAUNDRY,
,,,,,,,ROOM/ BRICKLAYERS SHOP/
,,,,,,,EXTERMINATOR SHOP/ PAINT SHOP
5568,100 2700 RANDALL AVENUE,,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,
5582,,12770 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10CARETAKER X-SHOP/,
,,,,,,,REFRIGERATOR & STOVE STORAGE
,,,,,,,ROOMS
5582,,12772 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12774 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10LAUNDRY ROOM,
5582,,12786 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10ROOFTOP LEASE LOCATION,
5582,,12730 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12732 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12734 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12742 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12744 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12760 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12762 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12731 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12733 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12735 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12743 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12745 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12751 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12755 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12761 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10ROOFTOP LEASE LOCATION,
5582,,12765 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12775 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12777 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12785 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,12787 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,1461 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10DAY CARE CENTER,
5582,,1471 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,
5582,,1475 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10TENANT ASSOCIATION ROOM,
5702,,1210 WEST 230TH STREET,10463,MARBLE HILL,MARBLE HILL,,8BRICKLAYERS SHOP/ CARPENTERS
,,,,,,,CABINET SUPPLY ROOM/ PLUMBERS
,,,,,,,SHOP/ STORAGE ROOM
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,333
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BROOKLYN
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
68,,1111 BRIDGE STREET,11201,FARRAGUT,FARRAGUT,2,
68,,1130 GOLD STREET,11201,FARRAGUT,FARRAGUT,,2BOILER
68,,1150 GOLD STREET,11201,FARRAGUT,FARRAGUT,2,
68,,1177 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
68,,1190 YORK STREET,11201,FARRAGUT,FARRAGUT,2,
71,,1233 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
71,,1191 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
71,,1201 SANDS STREET,11201,FARRAGUT,FARRAGUT,,2LAUNDRY ROOM
71,,1224 YORK STREET,11201,FARRAGUT,FARRAGUT,2,
71,,1228 YORK STREET,11201,FARRAGUT,FARRAGUT,,2COMMUNITY CENTER / SENIOR
,,,,,,,CENTER/ COMPUTER LAB
71,,1202 YORK STREET,11201,FARRAGUT,FARRAGUT,2,
71,,1212 YORK STREET,11201,FARRAGUT,FARRAGUT,2,
90,,1185 GOLD STREET,11201,FARRAGUT,FARRAGUT,,2MAINTENANCE SHOP
90,,1237 NASSAU STREET,11201,FARRAGUT,FARRAGUT,2,
90,,1251 NASSAU STREET,11201,FARRAGUT,FARRAGUT,,2DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
90,,1253 NASSAU STREET,11201,FARRAGUT,FARRAGUT,2,
90,,132 NAVY STREET,11201,FARRAGUT,FARRAGUT,,2COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)
90,,1234 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
90,,1192 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
90,,1202 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,
392,,1423 BALTIC STREET,11217,GOWANUS,GOWANUS,,6MAINTENANCE STORAGE/ GROUNDS
,,,,,,,STORAGE
392,,1415 BALTIC STREET,11217,GOWANUS,GOWANUS,6,
392,,1417 BALTIC STREET,11217,GOWANUS,GOWANUS,,6PLASTERERS SHOP/ STOVE
,,,,,,,STORAGE/ CONTRACTOR STORAGE
,,,,,,,ROOM
392,,1413 BALTIC STREET,11217,GOWANUS,GOWANUS,,6EXTERMINATOR SHOP/ GROUNDS
,,,,,,,STORAGE
392,,1427 BALTIC STREET,11217,GOWANUS,GOWANUS,6,
392,,1178 BOND STREET,11217,GOWANUS,GOWANUS,6,
392,,1182 BOND STREET,11217,GOWANUS,GOWANUS,6,
392,,1186 BOND STREET,11217,GOWANUS,GOWANUS,,6GLAZIERS SHOP
392,,1198 BOND STREET,11217,GOWANUS,GOWANUS,6,
392,,1175 HOYT STREET,11217,GOWANUS,GOWANUS,6,
392,,1181 HOYT STREET,11217,GOWANUS,GOWANUS,6,
392,,1187 HOYT STREET,11217,GOWANUS,GOWANUS,6,
392,,1195 HOYT STREET,11217,GOWANUS,GOWANUS,,6CARPENTERS SHOP/ NYCHA PAINT
,,,,,,,SHOP/ CONTRACTOR PAINT SHOP/
,,,,,,,CABINET STORAGE
394,,1130 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6BRICKLAYERS SHOP
394,,1132 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6CARPENTERS SHOP
394,,1136 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6PLASTERERS SHOP
394,,1185 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
394,,1187 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6STORAGE ROOM
394,,1191 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6DEVELOPMENT MAINTENANCE
,,,,,,,OFFICE
394,,1266 WYCKOFF STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)
394,,1272 WYCKOFF STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6COMMUNITY CENTER/ BOILER
394,,1274 WYCKOFF STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,
394,,1280 WYCKOFF STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,,6COMMUNITY CENTER / SENIOR
,,,,,,,CENTER
401,1,,11217,572 WARREN STREET,WYCKOFF GARDENS,,6QUONSET HUT
401,,1565 BALTIC STREET,11217,572 WARREN STREET,WYCKOFF GARDENS,,6DAY CARE CENTER
401,,1590 WARREN STREET,11217,572 WARREN STREET,WYCKOFF GARDENS,6,
401,,1568 WARREN STREET,11217,572 WARREN STREET,WYCKOFF GARDENS,6,
401,,1572 WARREN STREET,11217,572 WARREN STREET,WYCKOFF GARDENS,,6ELEVATOR SERVICE AREA #12/
,,,,,,,BOILER
401,,1574 WARREN STREET,11217,572 WARREN STREET,WYCKOFF GARDENS,6,
404,,1420 BALTIC STREET,11217,GOWANUS,GOWANUS,,6SENIOR CENTER
404,,1400 BALTIC STREET,11217,GOWANUS,GOWANUS,,6DEVELOPMENT MAINTENANCE
,,,,,,,OFFICE
404,,1414 BALTIC STREET,11217,GOWANUS,GOWANUS,,6STOREROOM/ JANITORIAL STORAGE/
,,,,,,,MAINTENANCE STORAGE
404,,1426 BALTIC STREET,11217,GOWANUS,GOWANUS,6,
404,,1238 BOND STREET,11217,GOWANUS,GOWANUS,,6BOILER/ BRICKLAYERS SHOP/
,,,,,,,PLUMBERS SHOP/ HPT STORAGE
,,,,,,,ROOM
404,,1224 BOND STREET,11217,GOWANUS,GOWANUS,6,
404,,1234 BOND STREET,11217,GOWANUS,GOWANUS,,6CABINET STORAGE ROOM
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,334
BROOKLYN,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BROOKLYN
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
404,,1244 BOND STREET,11217,GOWANUS,GOWANUS,,6NYPD HOUSING BUREAU RECORD
,,,,,,,ROOM/ COMMUNITY OPERATIONS
,,,,,,,SPACE
404,,1218 BOND STREET,11217,GOWANUS,GOWANUS,6,
404,,1225 HOYT STREET,11217,GOWANUS,GOWANUS,,6ELEVATOR SHOP
404,,1231 HOYT STREET,11217,GOWANUS,GOWANUS,6,
