GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US360850075002,360850075002,"Block Group 2, Census Tract 75, Richmond County, New York",1487,365
1500000US360850075003,360850075003,"Block Group 3, Census Tract 75, Richmond County, New York",1558,370
1500000US360850077001,360850077001,"Block Group 1, Census Tract 77, Richmond County, New York",1497,249
1500000US360850081000,360850081000,"Block Group 0, Census Tract 81, Richmond County, New York",0,11
1500000US360850081001,360850081001,"Block Group 1, Census Tract 81, Richmond County, New York",1791,432
1500000US360850081002,360850081002,"Block Group 2, Census Tract 81, Richmond County, New York",1252,230
1500000US360850081003,360850081003,"Block Group 3, Census Tract 81, Richmond County, New York",1330,418
1500000US360850096011,360850096011,"Block Group 1, Census Tract 96.01, Richmond County, New York",1572,292
1500000US360850096012,360850096012,"Block Group 2, Census Tract 96.01, Richmond County, New York",2272,409
1500000US360850096021,360850096021,"Block Group 1, Census Tract 96.02, Richmond County, New York",1304,292
1500000US360850096022,360850096022,"Block Group 2, Census Tract 96.02, Richmond County, New York",1019,269
1500000US360850096023,360850096023,"Block Group 3, Census Tract 96.02, Richmond County, New York",1104,320
1500000US360850097000,360850097000,"Block Group 0, Census Tract 97, Richmond County, New York",0,11
1500000US360850097001,360850097001,"Block Group 1, Census Tract 97, Richmond County, New York",1780,367
1500000US360850097002,360850097002,"Block Group 2, Census Tract 97, Richmond County, New York",1453,347
1500000US360850097003,360850097003,"Block Group 3, Census Tract 97, Richmond County, New York",1163,286
1500000US360850105001,360850105001,"Block Group 1, Census Tract 105, Richmond County, New York",457,137
1500000US360850105002,360850105002,"Block Group 2, Census Tract 105, Richmond County, New York",1095,378
1500000US360850105003,360850105003,"Block Group 3, Census Tract 105, Richmond County, New York",758,201
1500000US360850105004,360850105004,"Block Group 4, Census Tract 105, Richmond County, New York",1483,360
1500000US360850105005,360850105005,"Block Group 5, Census Tract 105, Richmond County, New York",1093,368
1500000US360850112010,360850112010,"Block Group 0, Census Tract 112.01, Richmond County, New York",0,11
1500000US360850112011,360850112011,"Block Group 1, Census Tract 112.01, Richmond County, New York",2451,470
1500000US360850112012,360850112012,"Block Group 2, Census Tract 112.01, Richmond County, New York",3395,608
1500000US360850112020,360850112020,"Block Group 0, Census Tract 112.02, Richmond County, New York",0,11
1500000US360850112021,360850112021,"Block Group 1, Census Tract 112.02, Richmond County, New York",2248,566
1500000US360850112022,360850112022,"Block Group 2, Census Tract 112.02, Richmond County, New York",2244,850
1500000US360850112023,360850112023,"Block Group 3, Census Tract 112.02, Richmond County, New York",1185,374
1500000US360850112024,360850112024,"Block Group 4, Census Tract 112.02, Richmond County, New York",0,11
1500000US360850114011,360850114011,"Block Group 1, Census Tract 114.01, Richmond County, New York",564,176
1500000US360850114012,360850114012,"Block Group 2, Census Tract 114.01, Richmond County, New York",2304,299
1500000US360850114021,360850114021,"Block Group 1, Census Tract 114.02, Richmond County, New York",901,243
1500000US360850114022,360850114022,"Block Group 2, Census Tract 114.02, Richmond County, New York",1184,349
1500000US360850114023,360850114023,"Block Group 3, Census Tract 114.02, Richmond County, New York",1756,355
1500000US360850121001,360850121001,"Block Group 1, Census Tract 121, Richmond County, New York",1219,192
1500000US360850121002,360850121002,"Block Group 2, Census Tract 121, Richmond County, New York",1069,305
1500000US360850121003,360850121003,"Block Group 3, Census Tract 121, Richmond County, New York",1034,215
1500000US360850122001,360850122001,"Block Group 1, Census Tract 122, Richmond County, New York",991,260
1500000US360850122002,360850122002,"Block Group 2, Census Tract 122, Richmond County, New York",878,272
1500000US360850122003,360850122003,"Block Group 3, Census Tract 122, Richmond County, New York",949,228
1500000US360850122004,360850122004,"Block Group 4, Census Tract 122, Richmond County, New York",1040,319
1500000US360850125001,360850125001,"Block Group 1, Census Tract 125, Richmond County, New York",1281,313
1500000US360850125002,360850125002,"Block Group 2, Census Tract 125, Richmond County, New York",991,256
1500000US360850125003,360850125003,"Block Group 3, Census Tract 125, Richmond County, New York",737,204
1500000US360850128040,360850128040,"Block Group 0, Census Tract 128.04, Richmond County, New York",0,11
1500000US360850128041,360850128041,"Block Group 1, Census Tract 128.04, Richmond County, New York",2762,482
1500000US360850128042,360850128042,"Block Group 2, Census Tract 128.04, Richmond County, New York",1366,391
1500000US360850128050,360850128050,"Block Group 0, Census Tract 128.05, Richmond County, New York",0,11
1500000US360850128051,360850128051,"Block Group 1, Census Tract 128.05, Richmond County, New York",2765,414
1500000US360850128060,360850128060,"Block Group 0, Census Tract 128.06, Richmond County, New York",0,11
1500000US360850128061,360850128061,"Block Group 1, Census Tract 128.06, Richmond County, New York",749,327
1500000US360850128062,360850128062,"Block Group 2, Census Tract 128.06, Richmond County, New York",803,317
1500000US360850128063,360850128063,"Block Group 3, Census Tract 128.06, Richmond County, New York",1574,383
1500000US360850128064,360850128064,"Block Group 4, Census Tract 128.06, Richmond County, New York",2474,481
1500000US360850132011,360850132011,"Block Group 1, Census Tract 132.01, Richmond County, New York",669,113
1500000US360850132012,360850132012,"Block Group 2, Census Tract 132.01, Richmond County, New York",910,133
1500000US360850132031,360850132031,"Block Group 1, Census Tract 132.03, Richmond County, New York",1323,355
1500000US360850132032,360850132032,"Block Group 2, Census Tract 132.03, Richmond County, New York",2239,446
1500000US360850132033,360850132033,"Block Group 3, Census Tract 132.03, Richmond County, New York",2112,469
1500000US360850132041,360850132041,"Block Group 1, Census Tract 132.04, Richmond County, New York",1232,307
1500000US360850132042,360850132042,"Block Group 2, Census Tract 132.04, Richmond County, New York",2357,421
1500000US360850132043,360850132043,"Block Group 3, Census Tract 132.04, Richmond County, New York",990,250
1500000US360850133011,360850133011,"Block Group 1, Census Tract 133.01, Richmond County, New York",1469,243
1500000US360850133021,360850133021,"Block Group 1, Census Tract 133.02, Richmond County, New York",649,298
1500000US360850133022,360850133022,"Block Group 2, Census Tract 133.02, Richmond County, New York",885,373
1500000US360850133023,360850133023,"Block Group 3, Census Tract 133.02, Richmond County, New York",1493,431
1500000US360850134001,360850134001,"Block Group 1, Census Tract 134, Richmond County, New York",1538,377
1500000US360850134002,360850134002,"Block Group 2, Census Tract 134, Richmond County, New York",1017,203
1500000US360850134003,360850134003,"Block Group 3, Census Tract 134, Richmond County, New York",1299,264
1500000US360850138001,360850138001,"Block Group 1, Census Tract 138, Richmond County, New York",897,242
1500000US360850138002,360850138002,"Block Group 2, Census Tract 138, Richmond County, New York",1349,389
1500000US360850138003,360850138003,"Block Group 3, Census Tract 138, Richmond County, New York",1646,366
1500000US360850138004,360850138004,"Block Group 4, Census Tract 138, Richmond County, New York",1225,375
1500000US360850138005,360850138005,"Block Group 5, Census Tract 138, Richmond County, New York",978,287
1500000US360850141001,360850141001,"Block Group 1, Census Tract 141, Richmond County, New York",1241,192
1500000US360850141002,360850141002,"Block Group 2, Census Tract 141, Richmond County, New York",1118,284
1500000US360850146041,360850146041,"Block Group 1, Census Tract 146.04, Richmond County, New York",1759,568
1500000US360850146042,360850146042,"Block Group 2, Census Tract 146.04, Richmond County, New York",1927,496
1500000US360850146043,360850146043,"Block Group 3, Census Tract 146.04, Richmond County, New York",2034,505
1500000US360850146044,360850146044,"Block Group 4, Census Tract 146.04, Richmond County, New York",1121,355
1500000US360850146051,360850146051,"Block Group 1, Census Tract 146.05, Richmond County, New York",1677,233
1500000US360850146052,360850146052,"Block Group 2, Census Tract 146.05, Richmond County, New York",2210,319
1500000US360850146061,360850146061,"Block Group 1, Census Tract 146.06, Richmond County, New York",2131,600
1500000US360850146062,360850146062,"Block Group 2, Census Tract 146.06, Richmond County, New York",2204,530
1500000US360850146063,360850146063,"Block Group 3, Census Tract 146.06, Richmond County, New York",1407,396
1500000US360850146064,360850146064,"Block Group 4, Census Tract 146.06, Richmond County, New York",1441,440
1500000US360850146071,360850146071,"Block Group 1, Census Tract 146.07, Richmond County, New York",3513,378
1500000US360850146072,360850146072,"Block Group 2, Census Tract 146.07, Richmond County, New York",1239,253
1500000US360850146081,360850146081,"Block Group 1, Census Tract 146.08, Richmond County, New York",1906,341
1500000US360850146082,360850146082,"Block Group 2, Census Tract 146.08, Richmond County, New York",2021,350
1500000US360850147001,360850147001,"Block Group 1, Census Tract 147, Richmond County, New York",758,221
1500000US360850147002,360850147002,"Block Group 2, Census Tract 147, Richmond County, New York",1860,310
1500000US360850147003,360850147003,"Block Group 3, Census Tract 147, Richmond County, New York",792,197
1500000US360850151001,360850151001,"Block Group 1, Census Tract 151, Richmond County, New York",1545,421
1500000US360850151002,360850151002,"Block Group 2, Census Tract 151, Richmond County, New York",680,336
1500000US360850151003,360850151003,"Block Group 3, Census Tract 151, Richmond County, New York",1049,524
1500000US360850151004,360850151004,"Block Group 4, Census Tract 151, Richmond County, New York",1038,389
1500000US360850151005,360850151005,"Block Group 5, Census Tract 151, Richmond County, New York",843,386
1500000US360850154000,360850154000,"Block Group 0, Census Tract 154, Richmond County, New York",0,11
1500000US360850154001,360850154001,"Block Group 1, Census Tract 154, Richmond County, New York",0,11
1500000US360850156011,360850156011,"Block Group 1, Census Tract 156.01, Richmond County, New York",1642,319
1500000US360850156012,360850156012,"Block Group 2, Census Tract 156.01, Richmond County, New York",901,271
1500000US360850156013,360850156013,"Block Group 3, Census Tract 156.01, Richmond County, New York",1359,349
1500000US360850156014,360850156014,"Block Group 4, Census Tract 156.01, Richmond County, New York",939,344
1500000US360850156015,360850156015,"Block Group 5, Census Tract 156.01, Richmond County, New York",866,238
1500000US360850156016,360850156016,"Block Group 6, Census Tract 156.01, Richmond County, New York",970,366
1500000US360850156021,360850156021,"Block Group 1, Census Tract 156.02, Richmond County, New York",876,197
1500000US360850156022,360850156022,"Block Group 2, Census Tract 156.02, Richmond County, New York",793,200
1500000US360850156023,360850156023,"Block Group 3, Census Tract 156.02, Richmond County, New York",772,235
1500000US360850156024,360850156024,"Block Group 4, Census Tract 156.02, Richmond County, New York",981,190
1500000US360850156030,360850156030,"Block Group 0, Census Tract 156.03, Richmond County, New York",0,11
1500000US360850156031,360850156031,"Block Group 1, Census Tract 156.03, Richmond County, New York",1368,405
1500000US360850156032,360850156032,"Block Group 2, Census Tract 156.03, Richmond County, New York",1476,263
1500000US360850156033,360850156033,"Block Group 3, Census Tract 156.03, Richmond County, New York",1817,313
1500000US360850169011,360850169011,"Block Group 1, Census Tract 169.01, Richmond County, New York",1141,260
1500000US360850169012,360850169012,"Block Group 2, Census Tract 169.01, Richmond County, New York",2001,276
1500000US360850170051,360850170051,"Block Group 1, Census Tract 170.05, Richmond County, New York",2661,514
1500000US360850170052,360850170052,"Block Group 2, Census Tract 170.05, Richmond County, New York",2256,393
1500000US360850170071,360850170071,"Block Group 1, Census Tract 170.07, Richmond County, New York",2272,397
1500000US360850170072,360850170072,"Block Group 2, Census Tract 170.07, Richmond County, New York",3199,598
1500000US360850170081,360850170081,"Block Group 1, Census Tract 170.08, Richmond County, New York",2821,581
1500000US360850170082,360850170082,"Block Group 2, Census Tract 170.08, Richmond County, New York",2070,499
1500000US360850170083,360850170083,"Block Group 3, Census Tract 170.08, Richmond County, New York",2669,490
