Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/28  15:00:00,279.659077869,26.9939304041,5.0880077078,0.0,62.886420148,41.4019203762,11.6723366675,0.0,10.5075,1.16483666748
 08/28  16:00:00,280.621572693,26.9939304041,5.40833240292,0.0,62.886420148,41.4019203762,11.6723717826,0.0,10.5075,1.16487178265
 08/28  17:00:00,281.398772934,26.9939304041,5.53282843269,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/28  18:00:00,275.156761929,26.9939304041,4.30099031928,0.0,41.9242800987,36.8599292233,12.293255634,1.78841146383,9.34,1.1648441702
 08/28  19:00:00,269.470047706,26.9939304041,3.82050538131,0.0,41.9242800987,36.8599292233,23.4680312175,12.9633746288,9.34,1.16465658868
 08/28  20:00:00,250.063894091,26.9939304041,2.88445644933,0.0,34.9369000822,32.3179380704,33.1067236968,23.7695928991,8.1725,1.16463079776
 08/28  21:00:00,179.781911169,26.9939304041,1.09477842493,0.0,13.9747600329,18.6919646116,4.83268045811,0.142680458114,4.67,0.02
 08/28  22:00:00,121.950826664,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/28  23:00:00,153.194283558,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930021513,0.0,2.335,1.16430021513
 08/28  24:00:00,130.599144349,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/29  01:00:00,120.790872038,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/29  02:00:00,120.022940093,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992226456,0.0,2.335,1.1642226456
 08/29  03:00:00,119.847382647,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
