Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/26  15:00:00,25.8248849718,2.17605060216,4.69425801293,0.0,3.71167865564,13.077,21.2460682094,0.0,19.50715,1.73891820937
 06/26  16:00:00,25.7189135674,2.17605060216,4.61065327014,0.0,3.71167865564,13.077,24.8204527784,0.0,22.50825,2.31220277842
 06/26  17:00:00,31.501240168,2.17605060216,5.44682725539,0.0,3.71167865564,18.077,28.3963067865,0.0,25.50935,2.88695678646
 06/26  18:00:00,31.1145390152,2.17605060216,5.07282201868,0.0,3.71167865564,18.077,28.9726664053,0.0,25.50935,3.46331640529
 06/26  19:00:00,31.1924086743,2.17605060216,4.95773555505,0.0,3.71167865564,18.077,29.5477048233,0.0,25.50935,4.03835482335
 06/26  20:00:00,27.4072803592,2.17605060216,4.28979960261,0.0,3.71167865564,13.077,25.9705440571,0.0,22.50825,3.46229405715
 06/26  21:00:00,27.2592768627,2.17605060216,3.61360418278,0.0,3.71167865564,13.077,25.04461737,0.0,21.0077,4.03691737004
 06/26  22:00:00,26.1008477737,2.17605060216,2.60521500202,0.0,3.71167865564,13.077,20.8935857356,0.0,18.0066,2.88698573556
 06/26  23:00:00,26.3390941017,2.17605060216,1.70451126268,0.0,3.71167865564,13.077,4.7392791773,0.0,3.0011,1.7381791773
 06/26  24:00:00,15.1069236971,2.17605060216,0.87106481305,0.0,1.85583932782,5.577,4.73915835476,0.0,3.0011,1.73805835476
 06/27  01:00:00,9.92239596202,0.0,0.0,0.0,0.618613109274,5.0,3.59315096329,0.0,3.0011,0.592050963293
 06/27  02:00:00,9.93629514176,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 06/27  03:00:00,9.94231335054,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 06/27  04:00:00,10.7853363032,0.0,0.0,0.0,0.618613109274,5.0,3.59315690027,0.0,3.0011,0.592056900272
 06/27  05:00:00,14.0247726663,2.17605060216,0.493272331447,0.0,1.85583932782,5.577,4.52165,0.0,4.50165,0.02
 06/27  06:00:00,27.5654340055,2.17605060216,1.16964902272,0.0,3.71167865564,18.077,14.6700957546,0.0,13.50495,1.16514575461
