Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/16  06:00:00,1035.85959323,96.4632693683,588.548539446,0.0,54.0258772165,176.889270242,402.779863215,357.087611581,28.3233498048,17.3689018297
 07/16  07:00:00,1037.01827538,96.4632693683,581.958670128,0.0,54.0258772165,184.38654557,394.539198152,343.359608114,42.4850247072,8.69456533091
 07/16  08:00:00,1108.10063578,96.4632693683,572.900718214,0.0,65.1572554096,220.04316451,397.338258603,323.258266668,56.6466996096,17.4332923255
 07/16  09:00:00,1097.28565078,96.4632693683,569.292128018,0.0,65.1572554096,212.545889182,373.546806916,313.564813381,42.4850247072,17.4969688278
 07/16  10:00:00,1101.65489319,96.4632693683,566.076609294,0.0,65.1572554096,220.04316451,401.626380521,304.492886678,70.808374512,26.325119331
 07/16  11:00:00,1102.63398225,96.4632693683,566.135241457,0.0,65.1572554096,220.04316451,391.518209751,303.152635538,70.808374512,17.5571997014
 07/16  12:00:00,1096.91491837,96.4632693683,561.298604472,0.0,65.1572554096,220.04316451,396.193191863,299.058597822,70.808374512,26.3262195291
 07/16  13:00:00,1091.69425692,96.4632693683,563.594882488,0.0,65.1572554096,212.545889182,379.63096561,296.660897647,56.6466996096,26.3233683536
 07/16  14:00:00,1090.65048636,96.4632693683,562.484290948,0.0,65.1572554096,212.545889182,354.589066948,294.548185999,42.4850247072,17.5558562425
 07/16  15:00:00,1090.07318286,96.4632693683,561.809022177,0.0,65.1572554096,212.545889182,374.403829036,291.433074838,56.6466996096,26.3240545892
 07/16  16:00:00,1069.41531859,96.4632693683,566.873145057,0.0,65.1572554096,220.04316451,392.745273188,290.216739893,84.9700494144,17.5584838801
 07/16  17:00:00,1022.99025228,96.4632693683,567.439046206,0.0,54.0258772165,184.38654557,402.315773774,291.115135393,84.9700494144,26.2305889666
 07/16  18:00:00,989.578747374,96.4632693683,564.385221771,0.0,44.4937663224,163.454314868,414.288054426,320.623588151,84.9700494144,8.69441686024
 07/16  19:00:00,982.360408282,96.4632693683,563.736489299,0.0,44.4937663224,155.95703954,399.547472521,334.206277084,56.6466996096,8.69449582775
 07/16  20:00:00,970.862784835,96.4632693683,572.651262663,0.0,44.4937663224,124.558693486,460.973551169,386.957628795,56.6466996096,17.3692227638
 07/16  21:00:00,978.202737364,96.4632693683,576.865086587,0.0,44.4937663224,124.558693486,453.024202699,401.844452058,42.4850247072,8.69472593371
 07/16  22:00:00,966.835138726,96.4632693683,575.383949956,0.0,34.9616554283,124.558693486,457.310270266,420.292118431,28.3233498048,8.69480203022
