Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/07  18:00:00,368.498014143,73.2500246041,0.0,0.0,220.879908,53.238744,1523.37914911,1482.85629456,4.83426,35.6885945516
 02/07  19:00:00,371.515365849,73.2500246041,0.0,0.0,220.879908,53.238744,1568.10937935,1518.48207608,4.83426,44.7930432715
 02/07  20:00:00,371.496793799,73.2500246041,0.0,0.0,220.879908,53.238744,1546.66741166,1524.45299639,4.83426,17.3801552739
 02/07  21:00:00,371.51128871,73.2500246041,0.0,0.0,220.879908,53.238744,1580.59106639,1567.06819834,4.83426,8.68860804639
 02/07  22:00:00,145.905314821,1.57704221846,26.5824449101,0.0,43.513341876,52.539744,15.9801183118,2.45721630381,4.83426,8.68864200802
 02/07  23:00:00,139.041152767,1.43367474406,19.8028856795,0.0,43.513341876,52.539744,16.6582444994,3.17518851718,4.83426,8.64879598218
 02/07  24:00:00,179.256727061,3.86418983712,55.7217833251,0.0,43.513341876,52.539744,19.9167551314,6.44648177762,4.83426,8.63601335383
 02/08  01:00:00,190.581365939,4.19646995345,67.7140382628,0.0,43.513341876,52.539744,10.9694298003,6.11516980033,4.83426,0.02
 02/08  02:00:00,211.010268456,5.24558744182,86.8414824045,0.0,43.513341876,52.539744,15.8124452048,10.9581852048,4.83426,0.02
 02/08  03:00:00,191.07993493,4.19646995345,68.2892351326,0.0,43.513341876,52.539744,23.7292231046,10.2739067521,4.83426,8.62105635251
 02/08  04:00:00,207.950736489,5.24558744182,83.8545155447,0.0,43.513341876,52.539744,21.9684492139,17.1141892139,4.83426,0.02
 02/08  05:00:00,193.501797666,9.10595145589,65.4220051427,0.0,43.513341876,52.539744,22.4772839203,17.6230239203,4.83426,0.02
 02/08  06:00:00,208.913522546,8.51857511011,81.180526623,0.0,43.513341876,52.539744,33.4675126354,28.6132526354,4.83426,0.02
 02/08  07:00:00,195.306424035,73.2500246041,0.0,0.0,43.513341876,53.238744,2412.31792632,2398.86258376,4.83426,8.62108255582
 02/08  08:00:00,354.042808152,73.2500246041,0.0,0.0,220.879908,53.238744,1921.84471224,1890.60293418,4.83426,26.4075180583
 02/08  09:00:00,446.166738842,73.2500246041,0.00084072491454,0.0,220.879908,145.652643033,1543.51418345,1471.77581424,36.25695,35.4814192143
 02/08  10:00:00,446.178257952,73.2500246041,0.00170833780142,0.0,220.879908,145.652643033,1343.12177383,1261.97572574,36.25695,44.8890980893
 02/08  11:00:00,452.183572825,73.251296264,0.00106615282546,0.0,220.879908,151.653867033,1256.75647285,1163.45945979,48.3426,44.9544130655
 02/08  12:00:00,453.315494906,73.3573438177,0.0,0.0,220.879908,151.653867033,1156.82049246,1054.30239188,48.3426,54.1755005831
 02/08  13:00:00,452.638681759,73.6936076161,0.0,0.0,220.879908,151.653867033,1090.78045245,988.079631716,48.3426,54.3582207317
 02/08  14:00:00,447.076191253,74.1320941498,0.0,0.0,220.879908,145.652643033,1082.0225172,994.305279498,24.1713,63.545937701
 02/08  15:00:00,447.159294118,74.2391083595,0.0,0.0,220.879908,145.652643033,1060.06497574,990.979255345,24.1713,44.914420391
 02/08  16:00:00,438.659304525,73.5706445823,0.0,0.0,220.879908,137.835547516,1027.62082682,977.791581795,4.83426,44.994985026
 02/08  17:00:00,433.270747957,73.2500246041,0.0,0.0,220.879908,133.019064,963.289211896,913.850314735,4.83426,44.6046371608
 02/08  18:00:00,368.429109436,73.2500246041,0.0,0.0,220.879908,53.238744,1089.93792627,1049.41755681,4.83426,35.6861094688
 02/08  19:00:00,371.423698752,73.2500246041,0.0,0.0,220.879908,53.238744,1160.25672587,1110.6310393,4.83426,44.7914265635
 02/08  20:00:00,371.829657886,73.2500246041,0.0,0.0,220.879908,53.238744,1194.33738989,1172.12458472,4.83426,17.3785451661
 02/08  21:00:00,371.806258298,73.2500246041,0.0,0.0,220.879908,53.238744,1225.36915275,1211.84708466,4.83426,8.68780809178
 02/08  22:00:00,117.586159018,0.0,0.0,0.0,43.513341876,52.539744,13.5224551221,0.0,4.83426,8.68819512207
 02/08  23:00:00,148.366391189,1.43367474406,29.0457183458,0.0,43.513341876,52.539744,13.8655583549,0.382482977714,4.83426,8.64881537719
 02/08  24:00:00,151.28381477,1.79209343007,30.3954482642,0.0,43.513341876,52.539744,5.39616694532,0.541906945316,4.83426,0.02
 02/09  01:00:00,141.048787112,1.43367474406,21.6881769574,0.0,43.513341876,52.539744,14.2438343769,0.788452969914,4.83426,8.62112140695
 02/09  02:00:00,144.190910523,1.79209343007,24.3841783273,0.0,43.513341876,52.539744,6.04772965358,1.19346965358,4.83426,0.02
 02/09  03:00:00,203.337252444,4.7348899865,79.6428524524,0.0,43.513341876,52.539744,7.47670402984,2.62244402984,4.83426,0.02
 02/09  04:00:00,203.081480004,4.55488863947,79.7283821887,0.0,43.513341876,52.539744,17.1057100472,3.6503271371,4.83426,8.62112291013
 02/09  05:00:00,209.478678442,4.8871687558,85.2982219658,0.0,43.513341876,52.539744,11.7579990061,6.90373900609,4.83426,0.02
 02/09  06:00:00,202.661953932,7.82787630776,75.7306322335,0.0,43.513341876,52.539744,13.7340414068,8.87978140679,4.83426,0.02
 02/09  07:00:00,195.079251176,73.2500246041,0.0,0.0,43.513341876,53.238744,2363.34666908,2349.8913457,4.83426,8.62106337381
 02/09  08:00:00,353.982041218,73.2500246041,0.0,0.0,220.879908,53.238744,1999.76930908,1968.52987651,4.83426,26.4051725623
 02/09  09:00:00,446.155481096,73.2500246041,0.0,0.0,220.879908,145.652643033,1642.46881849,1570.73348268,36.25695,35.4783858023
 02/09  10:00:00,446.172583202,73.2500246041,0.00152981231972,0.0,220.879908,145.652643033,1460.70699853,1379.55955684,36.25695,44.8904916883
 02/09  11:00:00,452.163708796,73.2500246041,0.00108265882475,0.0,220.879908,151.653867033,1348.44574793,1255.14640719,48.3426,44.9567407396
 02/09  12:00:00,453.262461709,73.3073545459,0.0,0.0,220.879908,151.653867033,1203.20964013,1100.69608019,48.3426,54.1709599417
 02/09  13:00:00,452.554185813,73.6026111597,0.0,0.0,220.879908,151.653867033,1101.83953966,999.143828381,48.3426,54.353111283
 02/09  14:00:00,446.439482514,73.4821331589,0.0,0.0,220.879908,145.652643033,1074.36440328,993.681037247,24.1713,56.512066036
 02/09  15:00:00,446.358932561,73.4196992091,0.0,0.0,220.879908,145.652643033,1063.83099613,987.787687864,24.1713,51.8720082683
 02/09  16:00:00,438.437934385,73.3761559594,0.0,0.0,220.879908,137.835547516,986.488840821,936.654946703,4.83426,44.9996341183
 02/09  17:00:00,433.182737139,73.2500246041,0.0,0.0,220.879908,133.019064,873.566756245,824.123720575,4.83426,44.6087756702
 02/09  18:00:00,368.470279735,73.2500246041,0.0,0.0,220.879908,53.238744,984.103728348,943.582606879,4.83426,35.6868614689
 02/09  19:00:00,371.470205713,73.2500246041,0.0,0.0,220.879908,53.238744,1024.62660269,975.00091926,4.83426,44.7914234324
 02/09  20:00:00,371.876485151,73.2500246041,0.0,0.0,220.879908,53.238744,1012.70159029,990.48685335,4.83426,17.3804769425
 02/09  21:00:00,371.858197635,73.2500246041,0.0,0.0,220.879908,53.238744,1021.79977651,1008.27694773,4.83426,8.68856878427
 02/09  22:00:00,117.680770772,0.0,0.0,0.0,43.513341876,52.539744,13.5224689577,0.0,4.83426,8.68820895769
 02/09  23:00:00,117.468289461,0.0,0.0,0.0,43.513341876,52.539744,13.4823381637,0.0,4.83426,8.64807816368
 02/09  24:00:00,118.550109409,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 02/10  01:00:00,140.788544608,1.07525605804,21.8063304477,0.0,43.513341876,52.539744,13.6581806312,0.202800408689,4.83426,8.62112022251
 02/10  02:00:00,142.412286058,1.25446540105,23.2025705857,0.0,43.513341876,52.539744,5.12187674563,0.267616745633,4.83426,0.02
 02/10  03:00:00,147.288242782,1.61288408706,27.6193320333,0.0,43.513341876,52.539744,5.1518107289,0.2975507289,4.83426,0.02
