Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/07  22:00:00,59.001840723,1.06975161102,2.39974888291,0.0,15.863942322,29.242365,4.73791607111,1.51223607111,3.20568,0.02
 01/07  23:00:00,58.7716006297,1.06975161102,2.3231207638,0.0,15.863942322,29.242365,7.67988180323,1.59179164607,3.20568,2.88241015715
 01/07  24:00:00,60.6056857763,1.42633548136,3.06988709518,0.0,15.863942322,29.242365,5.58080266462,2.35512266462,3.20568,0.02
 01/08  01:00:00,59.8515029522,1.42633548136,3.04379229849,0.0,15.863942322,29.242365,8.42586293932,2.33727899456,3.20568,2.88290394476
 01/08  02:00:00,59.8255378552,1.42633548136,3.01914050078,0.0,15.863942322,29.242365,5.91422037021,2.68854037021,3.20568,0.02
 01/08  03:00:00,58.7080210777,1.06975161102,2.26289491254,0.0,15.863942322,29.242365,5.63945640056,2.41377640056,3.20568,0.02
 01/08  04:00:00,58.7075301207,1.06975161102,2.26284406206,0.0,15.863942322,29.242365,8.76392969965,2.67523551036,3.20568,2.88301418929
 01/08  05:00:00,61.1350640942,1.7829193517,3.75835403972,0.0,15.863942322,29.242365,8.42379706548,5.19811706548,3.20568,0.02
 01/08  06:00:00,60.0005191862,1.42633548136,2.9965987365,0.0,15.863942322,29.242365,10.7835248128,4.69488145019,3.20568,2.88296336262
 01/08  07:00:00,60.7216519983,1.65989320891,3.46785613885,0.0,15.863942322,29.242365,9.27673959083,6.05105959083,3.20568,0.02
 01/08  08:00:00,53.1657777588,1.06975161102,2.29023284346,0.0,15.863942322,29.242365,8.65287112182,2.56419804183,3.20568,2.88299307998
 01/08  09:00:00,48.054915341,0.35658387034,0.7525576733,0.0,15.863942322,29.242365,4.03721498579,0.811534985795,3.20568,0.02
 01/08  10:00:00,46.9595012068,0.0,0.0,0.0,15.863942322,29.242365,6.09027812995,0.0,3.20568,2.88459812995
 01/08  11:00:00,46.9435135941,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  12:00:00,47.6505907301,0.0,0.0,0.0,15.863942322,29.242365,6.09042576107,0.0,3.20568,2.88474576107
 01/08  13:00:00,46.9074912864,0.0,0.0,0.0,15.863942322,29.242365,6.09032664849,0.0,3.20568,2.88464664849
 01/08  14:00:00,46.9456982541,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  15:00:00,46.9580460618,0.0,0.0,0.0,15.863942322,29.242365,6.08868217304,0.0,3.20568,2.88300217304
 01/08  16:00:00,46.9448400172,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  17:00:00,51.1328581941,0.0,0.0,0.0,15.863942322,29.242365,6.08863115143,0.0,3.20568,2.88295115143
 01/08  18:00:00,57.7731759216,0.713167740679,1.63991406685,0.0,15.863942322,29.242365,4.67813665153,1.45245665153,3.20568,0.02
 01/08  19:00:00,59.9117822563,1.42633548136,3.06470068784,0.0,15.863942322,29.242365,9.87017452328,3.78159438611,3.20568,2.88290013717
 01/08  20:00:00,59.9874280703,1.42633548136,2.92556470082,0.0,15.863942322,29.242365,9.6583600072,6.4326800072,3.20568,0.02
 01/08  21:00:00,62.4091508348,3.180369523,3.60101402288,0.0,15.863942322,29.242365,39.8098368185,36.5841568185,3.20568,0.02
 01/08  22:00:00,62.13729303,3.76665772435,2.83697656455,0.0,15.863942322,29.242365,66.4397840145,60.3510925438,3.20568,2.88301147079
 01/08  23:00:00,63.4199423648,4.48129778849,3.55100019572,0.0,15.863942322,29.242365,86.5020555803,83.2763755803,3.20568,0.02
 01/08  24:00:00,62.8147111138,3.86992280465,2.81249988487,0.0,15.863942322,29.242365,90.8169171621,84.7282119109,3.20568,2.88302525117
 01/09  01:00:00,63.4191859281,4.48129778849,3.54170611001,0.0,15.863942322,29.242365,105.967024604,102.741344604,3.20568,0.02
 01/09  02:00:00,62.7556285668,4.55056997004,2.80421212882,0.0,15.863942322,29.242365,109.726453146,103.636038031,3.20568,2.88473511524
 01/09  03:00:00,64.0874052064,5.14303808817,3.53705475673,0.0,15.863942322,29.242365,128.171855285,122.081433007,3.20568,2.88474227798
 01/09  04:00:00,63.1015648871,4.89089355273,2.79733016971,0.0,15.863942322,29.242365,124.7008579,121.4751779,3.20568,0.02
 01/09  05:00:00,64.381845735,5.21866555099,3.53396017756,0.0,15.863942322,29.242365,138.633325229,132.543420815,3.20568,2.88422441385
 01/09  06:00:00,63.3605437462,4.94761414984,2.79387440699,0.0,15.863942322,29.242365,130.631270449,127.405590449,3.20568,0.02
 01/09  07:00:00,65.9932146741,7.6489882942,0.0,0.0,15.863942322,29.818365,858.256421192,852.166030279,3.20568,2.88471091371
 01/09  08:00:00,124.663424155,7.6489882942,0.0,0.0,80.527626,29.818365,621.887217304,615.792563891,3.20568,2.88897341241
 01/09  09:00:00,166.449824885,7.6489882942,0.00438216230357,0.0,80.527626,75.0917375,482.333150565,446.713253778,24.0426,11.5772967865
 01/09  10:00:00,166.389016039,7.6489882942,0.00183566039605,0.0,80.527626,75.0917375,425.216491928,380.77155231,24.0426,20.4023396176
 01/09  11:00:00,170.353713368,7.6489882942,0.00100469188474,0.0,80.527626,79.0911225,386.93520528,334.529526219,32.0568,20.3488790604
 01/09  12:00:00,171.098759231,7.6489882942,0.0,0.0,80.527626,79.0911225,338.554059742,285.951839289,32.0568,20.5454204535
 01/09  13:00:00,170.323686319,7.6489882942,0.0,0.0,80.527626,79.0911225,321.009284829,262.575315229,32.0568,26.3771696002
 01/09  14:00:00,166.339051764,7.6489882942,0.0,0.0,80.527626,75.0917375,308.325217264,265.885325211,16.0284,26.411492053
 01/09  15:00:00,166.338249381,7.6489882942,0.0,0.0,80.527626,75.0917375,299.163201495,262.725216365,16.0284,20.4095851294
 01/09  16:00:00,164.315768,7.6489882942,0.0,0.0,80.527626,73.092045,288.708291505,265.07242984,3.20568,20.4301816644
 01/09  17:00:00,167.101587393,7.6489882942,0.0,0.0,80.527626,73.092045,304.76796242,298.6733215,3.20568,2.88896091942
 01/09  18:00:00,129.590574469,7.6489882942,0.0,0.0,80.527626,29.818365,359.975286501,353.880671272,3.20568,2.88893522828
 01/09  19:00:00,129.610672101,7.6489882942,0.0,0.0,80.527626,29.818365,392.011847406,383.032843995,3.20568,5.77332341108
 01/09  20:00:00,129.841552454,7.6489882942,0.0,0.0,80.527626,29.818365,413.245155457,401.376059189,3.20568,8.66341626868
 01/09  21:00:00,129.840996373,7.6489882942,0.0,0.0,80.527626,29.818365,429.117909549,417.255688916,3.20568,8.65654063297
 01/09  22:00:00,55.4145820772,0.0,0.0,0.0,15.863942322,29.242365,8.98335856359,0.0,3.20568,5.77767856359
 01/09  23:00:00,57.748141749,0.713167740679,1.71696633987,0.0,15.863942322,29.242365,6.89333029344,0.79691888233,3.20568,2.89073141111
 01/09  24:00:00,60.7117745023,1.42633548136,3.15644116929,0.0,15.863942322,29.242365,11.037017166,2.07523457639,3.20568,5.75610258959
 01/10  01:00:00,60.8300009726,1.7829193517,3.67657893048,0.0,15.863942322,29.242365,8.38274453889,5.15706453889,3.20568,0.02
 01/10  02:00:00,61.478980742,3.22641359269,2.87900400918,0.0,15.863942322,29.242365,45.0913226587,39.0009706146,3.20568,2.88467204408
 01/10  03:00:00,63.4523244914,4.49364724887,3.56689276982,0.0,15.863942322,29.242365,66.4430504022,63.2173704022,3.20568,0.02
 01/10  04:00:00,61.9361426527,3.71165359695,2.842164626,0.0,15.863942322,29.242365,65.0648230597,58.9743978045,3.20568,2.88474525515
 01/10  05:00:00,64.6363332353,4.63956699619,3.5257273265,0.0,15.863942322,29.242365,93.9011042834,87.81068946,3.20568,2.88473482345
 01/10  06:00:00,62.8189743082,3.71165359695,2.82658286512,0.0,15.863942322,29.242365,79.5836613251,76.3579813251,3.20568,0.02
 01/10  07:00:00,66.3176444681,7.6489882942,0.0,0.0,15.863942322,29.818365,823.259480305,817.169294954,3.20568,2.88450535118
 01/10  08:00:00,124.455365107,7.6489882942,0.0,0.0,80.527626,29.818365,586.542981637,580.448537021,3.20568,2.88876461651
 01/10  09:00:00,166.406835738,7.6489882942,0.00443292988185,0.0,80.527626,75.0917375,459.263363833,423.643423421,24.0426,11.577340412
 01/10  10:00:00,166.370932472,7.6489882942,0.0017483647108,0.0,80.527626,75.0917375,401.444466988,356.997718132,24.0426,20.404148856
 01/10  11:00:00,170.344902122,7.6489882942,0.000998330440652,0.0,80.527626,79.0911225,365.234630257,315.67326609,32.0568,17.5045641679
 01/10  12:00:00,171.092980934,7.6489882942,0.0,0.0,80.527626,79.0911225,323.888530702,268.432603307,32.0568,23.3991273945
 01/10  13:00:00,170.317929371,7.6489882942,0.0,0.0,80.527626,79.0911225,299.959372138,241.525034877,32.0568,26.377537261
 01/10  14:00:00,166.339504475,7.65706047255,0.0,0.0,80.527626,75.0917375,282.957775658,240.517795307,16.0284,26.4115803505
 01/10  15:00:00,166.355260771,7.67883539406,0.0,0.0,80.527626,75.0917375,267.175332878,230.737288213,16.0284,20.4096446654
 01/10  16:00:00,164.301085414,7.64914347694,0.0,0.0,80.527626,73.092045,250.176202008,226.538104271,3.20568,20.4324177375
 01/10  17:00:00,167.071035545,7.6489882942,0.0,0.0,80.527626,73.092045,252.790820253,246.696199628,3.20568,2.8889406249
 01/10  18:00:00,129.552597091,7.6489882942,0.0,0.0,80.527626,29.818365,301.385003675,295.290405596,3.20568,2.8889180798
 01/10  19:00:00,129.569355025,7.6489882942,0.0,0.0,80.527626,29.818365,329.538501351,320.559499948,3.20568,5.7733214025
 01/10  20:00:00,129.584256786,7.6489882942,0.0,0.0,80.527626,29.818365,348.66405439,336.794914645,3.20568,8.66345974535
 01/10  21:00:00,129.593582295,7.6489882942,0.0,0.0,80.527626,29.818365,361.102196939,349.239914529,3.20568,8.65660241031
 01/10  22:00:00,55.2732421983,0.0,0.0,0.0,15.863942322,29.242365,8.98341559733,0.0,3.20568,5.77773559733
 01/10  23:00:00,55.3238136973,0.0,0.0,0.0,15.863942322,29.242365,6.09643313861,0.0,3.20568,2.89075313861
