Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,401.960855432,21.1102812595,94.1517928422,0.0,24.9203635341,149.522181205,288.325790597,288.305790597,0.02
 01/01  02:00:00,373.865208637,16.8882250076,76.0102426995,0.0,24.9203635341,149.522181205,203.618889518,201.429543313,2.18934620503
 01/01  03:00:00,405.45701407,21.1102812595,94.2628547093,0.0,24.9203635341,149.522181205,275.63557735,273.446189822,2.18938752802
 01/01  04:00:00,370.31377691,16.8882250076,75.162763574,0.0,24.9203635341,149.522181205,221.025636885,218.836434934,2.18920195099
 01/01  05:00:00,414.142055517,21.1102812595,92.9856778686,0.0,24.9203635341,149.522181205,298.649496348,296.46008532,2.18941102896
 01/01  06:00:00,405.090166076,16.8882250076,74.2790966703,0.0,24.9203635341,149.522181205,237.028305799,232.664455956,4.36384984286
 01/01  07:00:00,485.089690098,21.1102812595,91.9657578723,0.0,24.9203635341,149.522181205,312.842943526,310.653543287,2.18940023929
 01/01  08:00:00,442.981790798,16.8882250076,73.6866955127,0.0,24.9203635341,149.522181205,233.978157911,231.788774453,2.18938345754
 01/01  09:00:00,457.263304615,21.1102812595,91.7156344012,0.0,24.9203635341,149.522181205,265.384380533,263.195011699,2.18936883358
 01/01  10:00:00,390.050675328,16.8882250076,74.9182315916,0.0,24.9203635341,149.522181205,144.492920168,142.303539366,2.18938080197
 01/01  11:00:00,378.767213326,21.1102812595,97.67164713,0.0,24.9203635341,149.522181205,178.161340542,175.971946893,2.18939364968
 01/01  12:00:00,350.621356483,16.8882250076,82.171221581,0.0,24.9203635341,149.522181205,129.052270084,126.861209018,2.19106106663
 01/01  13:00:00,393.466805333,21.1102812595,107.178832326,0.0,24.9203635341,149.522181205,153.574724535,151.383806929,2.1909176062
 01/01  14:00:00,364.727950684,16.8882250076,89.9802096383,0.0,24.9203635341,149.522181205,107.469677995,103.101672097,4.36800589809
 01/01  15:00:00,406.057464431,21.1102812595,114.49831415,0.0,24.9203635341,149.522181205,103.754789568,99.3922271673,4.36256240097
 01/01  16:00:00,367.223369939,16.8882250076,93.3686725742,0.0,24.9203635341,149.522181205,77.9794651333,75.7901233089,2.18934182439
 01/01  17:00:00,471.077349206,21.1102812595,111.506959617,0.0,24.9203635341,149.522181205,133.951071863,131.761689054,2.18938280873
 01/01  18:00:00,488.833355342,16.8882250076,84.2865316907,0.0,24.9203635341,149.522181205,138.124018258,135.934820916,2.18919734204
 01/01  19:00:00,518.045805706,21.1102812595,100.639090701,0.0,24.9203635341,149.522181205,197.311406746,195.12200015,2.18940659668
 01/01  20:00:00,458.422427519,16.8882250076,79.5293078404,0.0,24.9203635341,149.522181205,157.046225042,154.856833057,2.1893919844
 01/01  21:00:00,489.024588186,21.1102812595,97.2056343552,0.0,24.9203635341,149.522181205,223.869640722,221.680377923,2.18926279835
 01/01  22:00:00,429.780611262,16.8882250076,77.0996376637,0.0,24.9203635341,149.522181205,189.830474231,187.638475088,2.19199914292
 01/01  23:00:00,435.666451201,21.1102812595,95.0050400367,0.0,24.9203635341,149.522181205,277.55892514,275.369543744,2.18938139656
 01/01  24:00:00,378.199618537,16.8882250076,75.595954974,0.0,24.9203635341,149.522181205,229.439890633,227.250523825,2.18936680782
 01/02  01:00:00,446.059936537,21.1102812595,93.6501030758,0.0,24.9203635341,199.362908273,322.56016329,320.369859713,2.19030357671
 01/02  02:00:00,414.033718866,16.8882250076,75.0007287178,0.0,24.9203635341,199.362908273,263.213953728,261.023623012,2.19033071522
 01/02  03:00:00,444.112056135,21.1102812595,92.6071744326,0.0,24.9203635341,199.362908273,384.682308868,380.321777886,4.36053098103
 01/02  04:00:00,412.42431461,16.8882250076,73.9366510134,0.0,24.9203635341,199.362908273,297.969205788,295.779074226,2.19013156182
 01/02  05:00:00,454.213494994,21.1102812595,91.165473839,0.0,24.9203635341,199.362908273,433.290686193,431.100320903,2.19036528957
 01/02  06:00:00,472.513915946,16.8882250076,72.9255018537,0.0,49.8407270682,199.362908273,331.543304404,327.176990424,4.36631397998
 01/02  07:00:00,687.012029176,28.7169001776,196.587629396,0.0,49.8407270682,199.362908273,3117.2434715,3115.05133472,2.19213678336
 01/02  08:00:00,523.584586729,28.7169001776,0.0,0.0,149.522181205,199.362908273,3692.65459505,3683.90243381,8.75216124342
 01/02  09:00:00,1053.72505429,28.7169001776,0.0,0.0,448.566543614,448.566543614,1968.61286264,1951.0072737,17.6055889466
 01/02  10:00:00,1016.05555104,28.7169001776,0.0,0.0,448.566543614,448.566543614,1383.04983164,1365.41735605,17.6324755845
 01/02  11:00:00,965.297745723,28.76045047,0.0,0.0,448.566543614,448.566543614,998.912422629,981.275127963,17.6372946653
 01/02  12:00:00,964.985741409,29.4354079683,0.0,0.0,448.566543614,448.566543614,838.02230143,815.905591144,22.116710286
 01/02  13:00:00,915.660357208,30.330604087,0.0,0.0,448.566543614,398.725816546,807.832550708,781.184092504,26.6484582039
 01/02  14:00:00,965.380097447,30.5480684161,0.0,0.0,448.566543614,448.566543614,689.589813525,665.186712097,24.4031014276
 01/02  15:00:00,964.467232444,29.7837923222,0.0,0.0,448.566543614,448.566543614,624.879439723,609.478827492,15.4006122307
