Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/18  08:00:00,375.803306542,35.8417871415,138.587104689,0.0,51.0481707146,80.7689615957,384.447879096,3.85649698682,33.3212,347.270182109
 05/18  09:00:00,349.174809917,36.2628269908,139.435959158,0.0,51.0481707146,71.0224615957,332.685535299,0.73589694032,66.8089,265.140738359
 05/18  10:00:00,301.708501526,36.4212184395,140.858197788,0.0,32.1804615127,65.7244621605,296.88698364,2.67131027055,83.4695,210.746173369
 05/18  11:00:00,302.539455095,36.5076045545,141.005961419,0.0,32.1804615127,65.7244621605,243.890982301,3.16734673493,83.4695,157.254135566
 05/18  12:00:00,301.082404892,36.5622490113,140.097533718,0.0,32.1804615127,65.7244621605,240.523285512,2.97575532629,83.4695,154.078030186
 05/18  13:00:00,290.180962589,36.4914652183,138.622055939,0.0,32.1804615127,55.9779621605,231.786338068,2.77587758299,75.1392,153.871260485
 05/18  14:00:00,288.717406947,36.5181018971,136.776194926,0.0,32.1804615127,55.9779621605,222.741263949,2.6655201626,66.8089,153.266843787
 05/18  15:00:00,291.295146247,36.5485044436,139.308254627,0.0,32.1804615127,55.9779621605,224.890078815,2.37340543156,75.1392,147.377473383
 05/18  16:00:00,324.449586186,36.5054400136,143.483048428,0.0,32.1804615127,60.9114621605,209.289689602,1.43156586788,91.7998,116.058323735
 05/18  17:00:00,358.778988145,35.963866847,144.348457331,0.0,32.1804615127,77.5397301883,232.17067357,4.74106309978,49.9818,177.44781047
 05/18  18:00:00,408.618738869,36.0324685183,140.719614648,0.0,77.122965704,86.2600435998,364.083492063,5.22092521525,49.9818,308.880766848
 05/18  19:00:00,416.222569894,36.0304644665,140.974853503,0.0,102.647051061,80.1663183927,273.76858805,5.8002639416,33.3212,234.647124108
 05/18  20:00:00,457.810336244,35.9880150953,140.565264786,0.0,115.40909374,92.7192997104,273.278659762,6.53722682197,33.3212,233.42023294
 05/18  21:00:00,432.825135524,36.0288140314,139.287669418,0.0,102.647051061,94.1340635361,378.045650212,14.8184869924,24.9909,338.23626322
 05/18  22:00:00,369.135359841,36.0665362496,142.428590965,0.0,77.122965704,65.871452062,297.390645883,24.0158988162,16.6606,256.714147067
 05/18  23:00:00,278.692784092,35.9908025773,120.637224469,0.0,38.286128036,48.4199368926,189.046908398,38.5016511484,8.3303,142.214957249
 05/18  24:00:00,183.523763457,32.8939014217,66.9926876262,0.0,25.5240853573,30.610668775,151.697661426,36.2567427286,3.33212,112.108798698
 05/19  01:00:00,152.431951545,31.6961395499,45.4610884472,0.0,19.418418834,29.3649097162,135.205594366,44.7516654746,3.33212,87.1218088914
 05/19  02:00:00,158.548830247,32.4946474645,57.8732519034,0.0,12.7620426787,28.1191506574,139.307903833,48.8622746637,3.33212,87.1135091691
 05/19  03:00:00,176.282714314,33.293155379,73.8008679463,0.0,12.7620426787,28.1191506574,135.64608627,50.3623260902,3.33212,81.9516401797
 05/19  04:00:00,172.832806508,32.8939014217,64.1536468861,0.0,12.7620426787,28.1191506574,160.945434199,43.3540680387,3.33212,114.25924616
 05/19  05:00:00,195.888256452,32.8939014217,65.121777248,0.0,25.5240853573,30.610668775,245.435734968,40.4477111725,8.3303,196.657723796
 05/19  06:00:00,325.182109794,34.5707680422,103.82504024,0.0,51.0481707146,78.1489452969,392.549175554,39.5227920352,16.6606,336.365783519
 05/19  07:00:00,418.655154854,35.7264022173,140.55581738,0.0,64.3609230253,109.708623606,517.333199916,42.0731970641,24.9909,450.269102852
 05/19  08:00:00,357.757800732,35.6886791226,122.712996075,0.0,51.0481707146,80.7689615957,412.275922176,31.665461975,33.3212,347.289260201
